source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
ASJC,11,Agricultural and Biological Sciences,OAX,11,Agricultural and Biological Sciences,field,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1100,General Agricultural and Biological Sciences,OAX,1100,General Agricultural and Biological Sciences,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1102,Agronomy and Crop Science,OAX,1102,Agronomy and Crop Science,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1103,Animal Science and Zoology,OAX,1103,Animal Science and Zoology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1104,Aquatic Science,OAX,1104,Aquatic Science,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1105,Ecology,OAX,1105,"Ecology, Evolution, Behavior and Systematics",subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1106,Food Science,OAX,1106,Food Science,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1107,Forestry,OAX,1107,Forestry,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1108,Horticulture,OAX,1108,Horticulture,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1109,Insect Science,OAX,1109,Insect Science,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1110,Plant Science,OAX,1110,Plant Science,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1111,Soil Science,OAX,1111,Soil Science,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,12,Arts and Humanities,OAX,12,Arts and Humanities,field,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1200,General Arts and Humanities,OAX,1200,General Arts and Humanities,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1202,History,OAX,1202,History,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1203,Language and Linguistics,OAX,1203,Language and Linguistics,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1204,Archeology (arts and humanities),OAX,1204,Archeology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1205,Classics,OAX,1205,Classics,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1206,Conservation,OAX,1206,Conservation,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1207,History and Philosophy of Science,OAX,1207,History and Philosophy of Science,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1208,Literature and Literary Theory,OAX,1208,Literature and Literary Theory,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1209,Museology,OAX,1209,Museology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1210,Music,OAX,1210,Music,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1211,Philosophy,OAX,1211,Philosophy,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1212,Religious Studies,OAX,1212,Religious studies,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1213,Visual Arts and Performing Arts,OAX,1213,Visual Arts and Performing Arts,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,13,Biochemistry,OAX,13,"Biochemistry, Genetics and Molecular Biology",field,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1302,Aging,OAX,1302,Aging,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1303,Biochemistry,OAX,1303,Biochemistry,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1304,Biophysics,OAX,1304,Biophysics,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1305,Biotechnology,OAX,1305,Biotechnology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1306,Cancer Research,OAX,1306,Cancer Research,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1307,Cell Biology,OAX,1307,Cell Biology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1308,Clinical Biochemistry,OAX,1308,Clinical Biochemistry,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1309,Developmental Biology,OAX,1309,Developmental Biology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1310,Endocrinology,OAX,1310,Endocrinology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1311,Genetics,OAX,1311,Genetics,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1312,Molecular Biology,OAX,1312,Molecular Biology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1313,Molecular Medicine,OAX,1313,Molecular Medicine,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1314,Physiology,OAX,1314,Physiology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1315,Structural Biology,OAX,1315,Structural Biology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,14,Business,OAX,14,"Business, Management and Accounting",field,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1402,Accounting,OAX,1402,Accounting,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1403,Business and International Management,OAX,1403,Business and International Management,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1404,Management Information Systems,OAX,1404,Management Information Systems,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1405,Management of Technology and Innovation,OAX,1405,Management of Technology and Innovation,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1406,Marketing,OAX,1406,Marketing,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1407,Organizational Behavior and Human Resource Management,OAX,1407,Organizational Behavior and Human Resource Management,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1408,Strategy and Management,OAX,1408,Strategy and Management,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1409,Tourism,OAX,1409,"Tourism, Leisure and Hospitality Management",subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1410,Industrial Relations,OAX,1410,Industrial relations,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,15,Chemical Engineering,OAX,15,Chemical Engineering,field,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1502,Bioengineering,OAX,1502,Bioengineering,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1503,Catalysis,OAX,1503,Catalysis,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1504,Chemical Health and Safety,OAX,1504,Chemical Health and Safety,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1506,Filtration and Separation,OAX,1506,Filtration and Separation,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1507,Fluid Flow and Transfer Processes,OAX,1507,Fluid Flow and Transfer Processes,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1508,Process Chemistry and Technology,OAX,1508,Process Chemistry and Technology,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,16,Chemistry,OAX,16,Chemistry,field,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1602,Analytical Chemistry,OAX,1602,Analytical Chemistry,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
ASJC,1603,Electrochemistry,OAX,1603,Electrochemistry,subfield,True,exact_key_join,1.0,ASJC code == OpenAlex field_id/subfield_id (verified 100% coverage)
