source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
Leiden,1,Social sciences and humanities,FOR,44,HUMAN SOCIETY,division,True,derived_empirical,0.431,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,34,CHEMICAL SCIENCES,division,False,derived_empirical,0.001,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,31,BIOLOGICAL SCIENCES,division,False,derived_empirical,0.002,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,37,EARTH SCIENCES,division,False,derived_empirical,0.002,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,51,PHYSICAL SCIENCES,division,False,derived_empirical,0.003,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,42,HEALTH SCIENCES,division,False,derived_empirical,0.025,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,40,ENGINEERING,division,False,derived_empirical,0.026,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,41,ENVIRONMENTAL SCIENCES,division,False,derived_empirical,0.026,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",division,False,derived_empirical,0.017,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,49,MATHEMATICAL SCIENCES,division,False,derived_empirical,0.028,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,False,derived_empirical,0.031,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,38,ECONOMICS,division,False,derived_empirical,0.059,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,52,PSYCHOLOGY,division,False,derived_empirical,0.078,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",division,False,derived_empirical,0.084,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,43,"HISTORY, HERITAGE AND ARCHAEOLOGY",division,False,derived_empirical,0.156,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,FOR,46,INFORMATION AND COMPUTING SCIENCES,division,False,derived_empirical,0.028,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",division,False,derived_empirical,0.002,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,34,CHEMICAL SCIENCES,division,False,derived_empirical,0.001,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,38,ECONOMICS,division,False,derived_empirical,0.001,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,43,"HISTORY, HERITAGE AND ARCHAEOLOGY",division,False,derived_empirical,0.001,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,51,PHYSICAL SCIENCES,division,False,derived_empirical,0.001,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,46,INFORMATION AND COMPUTING SCIENCES,division,False,derived_empirical,0.001,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,49,MATHEMATICAL SCIENCES,division,False,derived_empirical,0.002,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,42,HEALTH SCIENCES,division,False,derived_empirical,0.075,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,40,ENGINEERING,division,False,derived_empirical,0.009,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,44,HUMAN SOCIETY,division,False,derived_empirical,0.009,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,52,PSYCHOLOGY,division,False,derived_empirical,0.021,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",division,False,derived_empirical,0.028,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,31,BIOLOGICAL SCIENCES,division,False,derived_empirical,0.215,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,True,derived_empirical,0.628,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,FOR,41,ENVIRONMENTAL SCIENCES,division,False,derived_empirical,0.006,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,37,EARTH SCIENCES,division,False,derived_empirical,0.006,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,44,HUMAN SOCIETY,division,False,derived_empirical,0.001,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,43,"HISTORY, HERITAGE AND ARCHAEOLOGY",division,False,derived_empirical,0.001,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,49,MATHEMATICAL SCIENCES,division,False,derived_empirical,0.003,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,42,HEALTH SCIENCES,division,False,derived_empirical,0.003,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,46,INFORMATION AND COMPUTING SCIENCES,division,False,derived_empirical,0.006,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,False,derived_empirical,0.022,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,31,BIOLOGICAL SCIENCES,division,False,derived_empirical,0.031,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,41,ENVIRONMENTAL SCIENCES,division,False,derived_empirical,0.036,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,51,PHYSICAL SCIENCES,division,False,derived_empirical,0.125,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,34,CHEMICAL SCIENCES,division,False,derived_empirical,0.126,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,40,ENGINEERING,division,True,derived_empirical,0.624,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,FOR,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",division,False,derived_empirical,0.015,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,4,Life and earth sciences,FOR,46,INFORMATION AND COMPUTING SCIENCES,division,False,derived_empirical,0.006,majority vote over 360 primary micro-clusters joined via OpenAlex topic
