source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
Leiden,1,Social sciences and humanities,OAX,2,Social Sciences,domain,True,derived_empirical,0.829,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,OAX,3,Physical Sciences,domain,False,derived_empirical,0.095,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,OAX,4,Health Sciences,domain,False,derived_empirical,0.043,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,1,Social sciences and humanities,OAX,1,Life Sciences,domain,False,derived_empirical,0.033,majority vote over 1266 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,OAX,4,Health Sciences,domain,True,derived_empirical,0.658,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,OAX,1,Life Sciences,domain,False,derived_empirical,0.289,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,OAX,2,Social Sciences,domain,False,derived_empirical,0.035,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,2,Biomedical and health sciences,OAX,3,Physical Sciences,domain,False,derived_empirical,0.018,majority vote over 1055 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,OAX,2,Social Sciences,domain,False,derived_empirical,0.004,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,OAX,4,Health Sciences,domain,False,derived_empirical,0.015,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,OAX,1,Life Sciences,domain,False,derived_empirical,0.056,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,3,Physical sciences and engineering,OAX,3,Physical Sciences,domain,True,derived_empirical,0.924,majority vote over 673 primary micro-clusters joined via OpenAlex topic
Leiden,4,Life and earth sciences,OAX,3,Physical Sciences,domain,True,derived_empirical,0.469,majority vote over 360 primary micro-clusters joined via OpenAlex topic
Leiden,4,Life and earth sciences,OAX,1,Life Sciences,domain,False,derived_empirical,0.469,majority vote over 360 primary micro-clusters joined via OpenAlex topic
Leiden,4,Life and earth sciences,OAX,4,Health Sciences,domain,False,derived_empirical,0.031,majority vote over 360 primary micro-clusters joined via OpenAlex topic
Leiden,4,Life and earth sciences,OAX,2,Social Sciences,domain,False,derived_empirical,0.031,majority vote over 360 primary micro-clusters joined via OpenAlex topic
Leiden,5,Mathematics and computer science,OAX,3,Physical Sciences,domain,True,derived_empirical,0.859,majority vote over 526 primary micro-clusters joined via OpenAlex topic
Leiden,5,Mathematics and computer science,OAX,2,Social Sciences,domain,False,derived_empirical,0.087,majority vote over 526 primary micro-clusters joined via OpenAlex topic
Leiden,5,Mathematics and computer science,OAX,1,Life Sciences,domain,False,derived_empirical,0.03,majority vote over 526 primary micro-clusters joined via OpenAlex topic
Leiden,5,Mathematics and computer science,OAX,4,Health Sciences,domain,False,derived_empirical,0.023,majority vote over 526 primary micro-clusters joined via OpenAlex topic
