source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
NABS2007,10,NABS2007 chapter Animal production and animal primary products,SEO,180101,Air quality,objective,True,explicit_official,1.0,excluded: 110502 Waste recycling services
NABS2007,11,NABS2007 chapter Commercial services and tourism,SEO,110504,Water services and utilities,objective,True,lexical,0.553,lexical tiebreak among 3 same-specificity candidates; excluded: 110504 Water services and utilities; 150205 Fiscal policy; 190207 Land policy; 270106 Space transport
NABS2007,11,NABS2007 chapter Commercial services and tourism,SEO,110502,Waste recycling services,objective,False,lexical,0.472,lexical tiebreak among 3 same-specificity candidates; excluded: 110504 Water services and utilities; 150205 Fiscal policy; 190207 Land policy; 270106 Space transport
NABS2007,11,NABS2007 chapter Commercial services and tourism,SEO,150205,Fiscal policy,objective,False,lexical,0.23,lexical tiebreak among 3 same-specificity candidates; excluded: 110504 Water services and utilities; 150205 Fiscal policy; 190207 Land policy; 270106 Space transport
NABS2007,12,NABS2007 chapter Construction,SEO,190207,Land policy,objective,True,explicit_official,1.0,excluded: 180402 Antartic and Southern Ocean oceanic processes
NABS2007,13,NABS2007 chapter Culture and society,SEO,1301,Arts,group,True,explicit_official,1.0,
NABS2007,14,NABS2007 chapter Defence,SEO,1401,Defence,group,True,explicit_official,1.0,
NABS2007,15,NABS2007 chapter Economic Framework,SEO,150208,Monetary policy,objective,True,explicit_official,1.0,excluded: 150208 Monetary policy; 190211 Water policy (incl. water allocation)
NABS2007,16,NABS2007 chapter Education and Training,SEO,1601,Learner and learning,group,True,explicit_official,1.0,
NABS2007,17,NABS2007 chapter Energy,SEO,180402,Antarctic and Southern Ocean oceanic processes,objective,True,explicit_official,1.0,excluded: 180101 Air quality; 180506 Oceanic processes (excl. in the Antartic and Southern Ocean)
NABS2007,18,NABS2007 chapter Environment management,SEO,180506,Oceanic processes (excl. in the Antarctic and Southern Ocean),objective,True,explicit_official,1.0,
NABS2007,19,"NABS2007 chapter Environmental policy, climate change and natural hazards",SEO,190211,Water policy (incl. water allocation),objective,True,lexical,0.382,lexical tiebreak among 2 same-specificity candidates
NABS2007,19,"NABS2007 chapter Environmental policy, climate change and natural hazards",SEO,150505,Industry policy,objective,False,lexical,0.25,lexical tiebreak among 2 same-specificity candidates
NABS2007,20,NABS2007 chapter Health,SEO,2001,Clinical health,group,True,explicit_official,1.0,
NABS2007,21,NABS2007 chapter Indigenous,SEO,2110,Pacific Peoples education,group,False,lexical,0.038,lexical tiebreak among 16 same-specificity candidates
NABS2007,21,NABS2007 chapter Indigenous,SEO,2004,Public health (excl. specific population health),group,False,lexical,0.08,lexical tiebreak among 16 same-specificity candidates
NABS2007,21,NABS2007 chapter Indigenous,SEO,2107,Te hauora (hauora Māori) (Māori health),group,False,lexical,0.121,lexical tiebreak among 16 same-specificity candidates
NABS2007,21,NABS2007 chapter Indigenous,SEO,2111,Pacific Peoples health,group,False,lexical,0.245,lexical tiebreak among 16 same-specificity candidates
