for_division_code,for_division_label,openalex_domain_id,openalex_domain_label,is_primary,share,n_rows
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1,Life Sciences,True,0.948,213
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",4,Health Sciences,False,0.052,213
31,BIOLOGICAL SCIENCES,1,Life Sciences,True,1.0,484
32,BIOMEDICAL AND CLINICAL SCIENCES,4,Health Sciences,True,0.638,1016
32,BIOMEDICAL AND CLINICAL SCIENCES,1,Life Sciences,False,0.362,1016
33,BUILT ENVIRONMENT AND DESIGN,2,Social Sciences,True,0.539,1067
33,BUILT ENVIRONMENT AND DESIGN,3,Physical Sciences,False,0.461,1067
34,CHEMICAL SCIENCES,3,Physical Sciences,True,1.0,92
35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",2,Social Sciences,True,1.0,164
36,CREATIVE ARTS AND WRITING,2,Social Sciences,True,1.0,203
37,EARTH SCIENCES,3,Physical Sciences,True,1.0,53
38,ECONOMICS,2,Social Sciences,True,1.0,78
39,EDUCATION,2,Social Sciences,True,1.0,575
40,ENGINEERING,3,Physical Sciences,True,1.0,644
41,ENVIRONMENTAL SCIENCES,3,Physical Sciences,True,1.0,196
42,HEALTH SCIENCES,4,Health Sciences,True,1.0,770
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",2,Social Sciences,True,1.0,203
44,HUMAN SOCIETY,2,Social Sciences,True,1.0,575
46,INFORMATION AND COMPUTING SCIENCES,3,Physical Sciences,True,1.0,247
47,"LANGUAGE, COMMUNICATION AND CULTURE",2,Social Sciences,True,1.0,203
48,LAW AND LEGAL STUDIES,2,Social Sciences,True,1.0,575
49,MATHEMATICAL SCIENCES,3,Physical Sciences,True,0.61,123
49,MATHEMATICAL SCIENCES,2,Social Sciences,False,0.39,123
50,PHILOSOPHY AND RELIGIOUS STUDIES,2,Social Sciences,True,1.0,203
51,PHYSICAL SCIENCES,3,Physical Sciences,True,1.0,214
52,PSYCHOLOGY,2,Social Sciences,True,1.0,127
