code,level,label,parent_code
30,division,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",
3001,group,Agricultural biotechnology,30
300101,field,Agricultural biotechnology diagnostics (incl. biosensors),3001
300102,field,Agricultural marine biotechnology,3001
300103,field,Agricultural molecular engineering of nucleic acids and proteins,3001
300104,field,Genetically modified animals,3001
300105,field,Genetically modified field crops and pasture,3001
300106,field,Genetically modified horticulture plants,3001
300107,field,Genetically modified trees,3001
300108,field,Livestock cloning,3001
300109,field,Non-genetically modified uses of biotechnology,3001
300110,field,Transgenesis,3001
300199,field,Agricultural biotechnology not elsewhere classified,3001
3002,group,"Agriculture, land and farm management",30
300201,field,Agricultural hydrology,3002
300202,field,Agricultural land management,3002
300203,field,Agricultural land planning,3002
300204,field,Agricultural management of nutrients,3002
300205,field,Agricultural production systems simulation,3002
300206,field,Agricultural spatial analysis and modelling,3002
300207,field,Agricultural systems analysis and modelling,3002
300208,field,"Farm management, rural management and agribusiness",3002
300209,field,Germplasm management,3002
300210,field,Sustainable agricultural development,3002
300299,field,"Agriculture, land and farm management not elsewhere classified",3002
3003,group,Animal production,30
300301,field,Animal growth and development,3003
300302,field,Animal management,3003
300303,field,Animal nutrition,3003
300304,field,Animal protection (incl. pests and pathogens),3003
300305,field,Animal reproduction and breeding,3003
300306,field,Animal welfare,3003
300307,field,Environmental studies in animal production,3003
300399,field,Animal production not elsewhere classified,3003
3004,group,Crop and pasture production,30
300401,field,Agrochemicals and biocides (incl. application),3004
300402,field,Agro-ecosystem function and prediction,3004
300403,field,Agronomy,3004
300404,field,Crop and pasture biochemistry and physiology,3004
300405,field,Crop and pasture biomass and bioproducts,3004
300406,field,Crop and pasture improvement (incl. selection and breeding),3004
300407,field,Crop and pasture nutrition,3004
300408,field,Crop and pasture post harvest technologies (incl. transportation and storage),3004
300409,field,"Crop and pasture protection (incl. pests, diseases and weeds)",3004
300410,field,Crop and pasture waste water use,3004
300411,field,Fertilisers (incl. application),3004
300412,field,Organic and low chemical input crop production,3004
300413,field,Pollination biology and systems,3004
300499,field,Crop and pasture production not elsewhere classified,3004
3005,group,Fisheries sciences,30
300501,field,Aquaculture,3005
300502,field,Aquaculture and fisheries stock assessment,3005
300503,field,Fish pests and diseases,3005
300504,field,Fish physiology and genetics,3005
300505,field,Fisheries management,3005
300506,field,Post-harvest fisheries technologies (incl. transportation),3005
300599,field,Fisheries sciences not elsewhere classified,3005
3006,group,Food sciences,30
300601,field,Beverage chemistry and beverage sensory science,3006
300602,field,Food chemistry and food sensory science,3006
300603,field,Food nutritional balance,3006
300604,field,"Food packaging, preservation and processing",3006
300605,field,"Food safety, traceability, certification and authenticity",3006
300606,field,Food sustainability,3006
300607,field,Food technology,3006
300699,field,Food sciences not elsewhere classified,3006
3007,group,Forestry sciences,30
300701,field,Agroforestry,3007
300702,field,Forest biodiversity,3007
300703,field,Forest ecosystems,3007
300704,field,Forest health and pathology,3007
300705,field,Forestry biomass and bioproducts,3007
300706,field,Forestry fire management,3007
300707,field,Forestry management and environment,3007
300708,field,Forestry product quality assessment,3007
300709,field,Tree improvement (incl. selection and breeding),3007
300710,field,Tree nutrition and physiology,3007
300711,field,Wood fibre processing,3007
300712,field,Wood processing,3007
300799,field,Forestry sciences not elsewhere classified,3007
3008,group,Horticultural production,30
300801,field,Field organic and low chemical input horticulture,3008
300802,field,Horticultural crop growth and development,3008
300803,field,Horticultural crop improvement (incl. selection and breeding),3008
300804,field,"Horticultural crop protection (incl. pests, diseases and weeds)",3008
300805,field,Oenology and viticulture,3008
300806,field,Post harvest horticultural technologies (incl. transportation and storage),3008
300899,field,Horticultural production not elsewhere classified,3008
3009,group,Veterinary sciences,30
300901,field,Veterinary anaesthesiology and intensive care,3009
300902,field,Veterinary anatomy and physiology,3009
300903,field,Veterinary bacteriology,3009
300904,field,Veterinary diagnosis and diagnostics,3009
300905,field,Veterinary epidemiology,3009
300906,field,Veterinary immunology,3009
300907,field,Veterinary medicine (excl. urology),3009
300908,field,Veterinary mycology,3009
300909,field,Veterinary parasitology,3009
300910,field,Veterinary pathology,3009
300911,field,Veterinary pharmacology,3009
300912,field,Veterinary surgery,3009
300913,field,Veterinary urology,3009
300914,field,Veterinary virology,3009
300999,field,Veterinary sciences not elsewhere classified,3009
3099,group,"Other agricultural, veterinary and food sciences",30
309999,field,"Other agricultural, veterinary and food sciences not elsewhere classified",3099
31,division,BIOLOGICAL SCIENCES,
3101,group,Biochemistry and cell biology,31
310101,field,Analytical biochemistry,3101
310102,field,"Cell development, proliferation and death",3101
310103,field,Cell metabolism,3101
310104,field,Cell neurochemistry,3101
310105,field,"Cellular interactions (incl. adhesion, matrix, cell wall)",3101
310106,field,Enzymes,3101
310107,field,Glycobiology,3101
310108,field,Protein trafficking,3101
310109,field,Proteomics and intermolecular interactions (excl. medical proteomics),3101
310110,field,Receptors and membrane biology,3101
310111,field,Signal transduction,3101
310112,field,Structural biology (incl. macromolecular modelling),3101
310113,field,Synthetic biology,3101
310114,field,Systems biology,3101
310199,field,Biochemistry and cell biology not elsewhere classified,3101
3102,group,Bioinformatics and computational biology,31
310201,field,Bioinformatic methods development,3102
310202,field,Biological network analysis,3102
310203,field,Computational ecology and phylogenetics,3102
310204,field,Genomics and transcriptomics,3102
310205,field,Proteomics and metabolomics,3102
310206,field,Sequence analysis,3102
310207,field,Statistical and quantitative genetics,3102
310208,field,Translational and applied bioinformatics,3102
310299,field,Bioinformatics and computational biology not elsewhere classified,3102
3103,group,Ecology,31
310301,field,Behavioural ecology,3103
310302,field,Community ecology (excl. invasive species ecology),3103
310303,field,Ecological physiology,3103
310304,field,Freshwater ecology,3103
310305,field,Marine and estuarine ecology (incl. marine ichthyology),3103
310306,field,Palaeoecology,3103
310307,field,Population ecology,3103
310308,field,Terrestrial ecology,3103
310399,field,Ecology not elsewhere classified,3103
3104,group,Evolutionary biology,31
310401,field,Animal systematics and taxonomy,3104
310402,field,Biogeography and phylogeography,3104
310403,field,Biological adaptation,3104
310404,field,Evolution of developmental systems,3104
310405,field,Evolutionary ecology,3104
310406,field,Evolutionary impacts of climate change,3104
310407,field,Host-parasite interactions,3104
310408,field,Life histories,3104
310409,field,Microbial taxonomy,3104
310410,field,Phylogeny and comparative analysis,3104
310411,field,Plant and fungus systematics and taxonomy,3104
310412,field,Speciation and extinction,3104
310499,field,Evolutionary biology not elsewhere classified,3104
3105,group,Genetics,31
310501,field,Anthropological genetics,3105
310502,field,Cell and nuclear division,3105
310503,field,Developmental genetics (incl. sex determination),3105
310504,field,Epigenetics (incl. genome methylation and epigenomics),3105
310505,field,Gene expression (incl. microarray and other genome-wide approaches),3105
310506,field,Gene mapping,3105
310507,field,Genetic immunology,3105
310508,field,Genome structure and regulation,3105
310509,field,Genomics,3105
310510,field,Molecular evolution,3105
310511,field,Neurogenetics,3105
310599,field,Genetics not elsewhere classified,3105
3106,group,Industrial biotechnology,31
