code,level,label,parent_code
10001,topic,Geological and Geochemical Analysis,1908
10002,topic,Advanced Chemical Physics Studies,3107
10003,topic,Innovation and Knowledge Management,1408
10004,topic,Soil Carbon and Nitrogen Dynamics,1111
10005,topic,Ecology and Vegetation Dynamics Studies,2309
10006,topic,Job Satisfaction and Organizational Behavior,1407
10007,topic,Monetary Policy and Economic Impact,2000
10008,topic,Teacher Education and Leadership Studies,3304
10009,topic,Dementia and Cognitive Impairment Research,2738
10010,topic,"Obesity, Physical Activity, Diet",2739
10011,topic,"Literature: history, themes, analysis",1208
10012,topic,Genetic diversity and population structure,1311
10013,topic,Asymmetric Synthesis and Catalysis,1605
10014,topic,Plant Stress Responses and Tolerance,1110
10015,topic,Genomics and Phylogenetic Studies,1312
10016,topic,Adsorption and biosorption for pollutant removal,2312
10017,topic,Geology and Paleoclimatology Research,1902
10018,topic,Advancements in Battery Materials,2208
10019,topic,Corporate Finance and Governance,1402
10020,topic,Quantum Information and Cryptography,1702
10021,topic,EFL/ESL Teaching and Learning,1203
10022,topic,Semiconductor Quantum Structures and Devices,3107
10023,topic,Schizophrenia research and treatment,2738
10024,topic,TiO2 Photocatalysis and Solar Cells,2105
10025,topic,Black Holes and Theoretical Physics,3106
10026,topic,"Galaxies: Formation, Evolution, Phenomena",3103
10027,topic,"Diabetes, Cardiovascular Risks, and Lipoproteins",2712
10028,topic,Topic Modeling,1702
10029,topic,Climate variability and models,2306
10030,topic,Electrocatalysts for Energy Conversion,2105
10031,topic,T-cell and B-cell Immunology,2403
10032,topic,Marine and coastal ecosystems,1910
10033,topic,Concrete and Cement Materials Research,2205
10034,topic,"Syntax, Semantics, Linguistic Variation",1203
10035,topic,Phytochemicals and Antioxidant Activities,2704
10036,topic,Advanced Neural Network Applications,1707
10037,topic,Physics of Superconductivity and Magnetism,3104
10038,topic,Tuberculosis Research and Epidemiology,2725
10039,topic,"Stellar, planetary, and galactic studies",3103
10040,topic,Adaptive Control of Nonlinear Systems,2207
10041,topic,COVID-19 Clinical Research Studies,2725
10042,topic,Neural and Behavioral Psychology Studies,2805
10043,topic,Substance Abuse Treatment and Outcomes,2713
