code,level,label,parent_code
10,division,ANIMAL PRODUCTION AND ANIMAL PRIMARY PRODUCTS,
1001,group,Environmentally sustainable animal production,10
100101,objective,Management of gaseous waste from animal production (excl. greenhouse gases),1001
100102,objective,Management of liquid waste from animal production (excl. water),1001
100103,objective,Management of solid waste from animal production,1001
100104,objective,Management of water consumption by animal production,1001
100199,objective,Environmentally sustainable animal production not elsewhere classified,1001
1002,group,Fisheries - aquaculture,10
100201,objective,Aquaculture crustaceans (excl. rock lobster and prawns),1002
100202,objective,Aquaculture fin fish (excl. tuna),1002
100203,objective,Aquaculture molluscs (excl. oysters),1002
100204,objective,Aquaculture oysters,1002
100205,objective,Aquaculture prawns,1002
100206,objective,Aquaculture rock lobster,1002
100207,objective,Aquaculture tuna,1002
100299,objective,Fisheries - aquaculture not elsewhere classified,1002
1003,group,Fisheries - wild caught,10
100301,objective,Fisheries - recreational freshwater,1003
100302,objective,Fisheries - recreational marine,1003
100303,objective,Wild caught crustaceans (excl. rock lobster and prawns),1003
100304,objective,Wild caught edible molluscs,1003
100305,objective,Wild caught fin fish (excl. tuna),1003
100306,objective,Wild caught prawns,1003
100307,objective,Wild caught rock lobster,1003
100308,objective,Wild caught tuna,1003
100399,objective,Fisheries - wild caught not elsewhere classified,1003
1004,group,Livestock raising,10
100401,objective,Beef cattle,1004
100402,objective,Dairy cattle,1004
100403,objective,Deer,1004
100404,objective,"Game livestock (e.g. kangaroos, wallabies, camels, buffaloes)",1004
100405,objective,Goats,1004
100406,objective,Horses,1004
100407,objective,Insects,1004
100408,objective,"Minor livestock (e.g. alpacas, ostriches, crocodiles, farmed rabbits)",1004
100409,objective,Non-cattle dairy,1004
100410,objective,Pigs,1004
100411,objective,Poultry,1004
100412,objective,Sheep for meat,1004
100413,objective,Sheep for wool,1004
100499,objective,Livestock raising not elsewhere classified,1004
1005,group,"Pasture, browse and fodder crops",10
100501,objective,Browse crops,1005
100502,objective,Lucerne,1005
100503,objective,Native and residual pastures,1005
100504,objective,Non-cereal crops (non-cereal crops for hay/silage/green feed),1005
100505,objective,Sown pastures (excl. lucerne),1005
100599,objective,"Pasture, browse and fodder crops not elsewhere classified",1005
1006,group,Primary products from animals,10
100601,objective,Eggs,1006
100602,objective,Honey,1006
100603,objective,Pearls,1006
100604,objective,Raw wool,1006
100605,objective,Unprocessed or minimally processed fish,1006
100606,objective,Unprocessed or minimally processed milk,1006
100699,objective,Primary products from animals not elsewhere classified,1006
1099,group,Other animal production and animal primary products,10
109901,objective,Animal adaptation to climate change,1099
109902,objective,Animal welfare,1099
109903,objective,Fish product traceability and quality assurance,1099
109904,objective,Livestock product traceability and quality assurance,1099
109999,objective,Other animal production and animal primary products not elsewhere classified,1099
11,division,COMMERCIAL SERVICES AND TOURISM,
1101,group,Environmentally sustainable commercial services and tourism,11
110101,objective,Management of gaseous waste from commercial services and tourism (excl. greenhouse gases),1101
110102,objective,Management of liquid waste from commercial services and tourism (excl. water),1101
110103,objective,Management of solid waste from commercial services and tourism,1101
110104,objective,Management of water consumption by commercial services and tourism,1101
110199,objective,Environmentally sustainable commercial services and tourism not elsewhere classified,1101
1102,group,Financial services,11
110201,objective,Finance services,1102
110202,objective,Investment services (excl. superannuation),1102
110203,objective,Superannuation and insurance services,1102
110299,objective,Financial services not elsewhere classified,1102
1103,group,"Property, business support services and trade",11
110301,objective,Administration and business support services,1103
110302,objective,"Professional, scientific and technical services",1103
110303,objective,Property services (incl. security),1103
110304,objective,Wholesale and retail trade,1103
110399,objective,"Property, business support services and trade not elsewhere classified",1103
1104,group,Tourism services,11
110401,objective,Economic issues in tourism,1104
110402,objective,Socio-cultural issues in tourism,1104
110403,objective,Tourism infrastructure development,1104
110499,objective,Tourism services not elsewhere classified,1104
1105,group,Water and waste services,11
110501,objective,Waste management services,1105
110502,objective,Waste recycling services,1105
110503,objective,Water recycling services (incl. sewage and greywater),1105
110504,objective,Water services and utilities,1105
110599,objective,Water and waste services not elsewhere classified,1105
1199,group,Other commercial services and tourism,11
119901,objective,Hospitality services,1199
119902,objective,Recreational services,1199
119999,objective,Other commercial services and tourism not elsewhere classified,1199
12,division,CONSTRUCTION,
1201,group,Building management and services,12
120101,objective,Civil building management and services,1201
120102,objective,Commercial building management and services,1201
120103,objective,Industrial building management and services,1201
120104,objective,Institutional building management and services,1201
120105,objective,Residential building management and services,1201
120199,objective,Building management and services not elsewhere classified,1201
1202,group,Construction design,12
120201,objective,Civil construction design,1202
120202,objective,Commercial construction design,1202
120203,objective,Industrial construction design,1202
