source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
FOR1998,23,MATHEMATICAL SCIENCES,FOR,49,MATHEMATICAL SCIENCES,division,True,derived_empirical,1.0,"rolled up from 30 FOR1998 leaf-level mapping(s), 30 agreeing"
FOR1998,2301,Mathematics,FOR,4904,Pure mathematics,group,True,derived_empirical,0.7,"rolled up from 20 FOR1998 leaf-level mapping(s), 14 agreeing"
FOR1998,2301,Mathematics,FOR,4901,Applied mathematics,group,False,derived_empirical,0.2,"rolled up from 20 FOR1998 leaf-level mapping(s), 4 agreeing"
FOR1998,2301,Mathematics,FOR,4903,Numerical and computational mathematics,group,False,derived_empirical,0.1,"rolled up from 20 FOR1998 leaf-level mapping(s), 2 agreeing"
FOR1998,230101,"Mathematical Logic, Set Theory, Lattices and Combinatorics",FOR,490407,"Mathematical logic, set theory, lattices and universal algebra",field,True,explicit_official_transitive,0.783,FOR1998->010107 (2008)->490407 (2020)
FOR1998,230101,"Mathematical Logic, Set Theory, Lattices and Combinatorics",FOR,490404,Combinatorics and discrete mathematics (excl. physical combinatorics),field,False,explicit_official_transitive,0.409,FOR1998->010104 (2008)->490404 (2020)
FOR1998,230101,"Mathematical Logic, Set Theory, Lattices and Combinatorics",FOR,490206,"Statistical mechanics, physical combinatorics and mathematical aspects of condensed matter",field,False,explicit_official_transitive,0.405,FOR1998->010506 (2008)->490206 (2020)
FOR1998,230102,Number Theory and Field Theory,FOR,490401,Algebra and number theory,field,True,explicit_official_transitive,0.473,FOR1998->010101 (2008)->490401 (2020)
FOR1998,230103,Rings and Algebras,FOR,490401,Algebra and number theory,field,True,explicit_official_transitive,0.326,FOR1998->010101 (2008)->490401 (2020)
FOR1998,230104,"Category Theory, K Theory, Homological Algebra",FOR,490403,"Category theory, k theory, homological algebra",field,True,explicit_official_transitive,0.9,FOR1998->010103 (2008)->490403 (2020)
FOR1998,230105,Group Theory and Generalisations (incl. Topological Groups and Lie Groups),FOR,490406,"Lie groups, harmonic and Fourier analysis",field,False,explicit_official_transitive,0.174,FOR1998->010106 (2008)->490406 (2020)
FOR1998,230105,Group Theory and Generalisations (incl. Topological Groups and Lie Groups),FOR,490405,Group theory and generalisations,field,True,explicit_official_transitive,0.604,FOR1998->010105 (2008)->490405 (2020)
FOR1998,230106,Real and Complex Functions,FOR,490411,Real and complex functions (incl. several variables),field,True,explicit_official_transitive,0.667,FOR1998->010111 (2008)->490411 (2020)
FOR1998,230107,"Differential, Difference and Integral Equations",FOR,490410,Partial differential equations,field,True,explicit_official_transitive,0.571,FOR1998->010110 (2008)->490410 (2020)
FOR1998,230107,"Differential, Difference and Integral Equations",FOR,490409,"Ordinary differential equations, difference equations and dynamical systems",field,False,explicit_official_transitive,0.557,FOR1998->010109 (2008)->490409 (2020)
FOR1998,230107,"Differential, Difference and Integral Equations",FOR,499999,Other mathematical sciences not elsewhere classified,field,False,explicit_official_transitive,0.387,FOR1998->019999 (2008)->499999 (2020)
FOR1998,230107,"Differential, Difference and Integral Equations",FOR,490202,Integrable systems (classical and quantum),field,False,explicit_official_transitive,0.292,FOR1998->010502 (2008)->490202 (2020)
FOR1998,230107,"Differential, Difference and Integral Equations",FOR,490499,Pure mathematics not elsewhere classified,field,False,explicit_official_transitive,0.205,FOR1998->010199 (2008)->490499 (2020)
FOR1998,230108,Harmonic and Fourier Analysis,FOR,490406,"Lie groups, harmonic and Fourier analysis",field,True,explicit_official_transitive,0.829,FOR1998->010106 (2008)->490406 (2020)
