source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
FORD2015,1.1,FORD2015 subfield Mathematics,FOR,4901,Applied mathematics,group,True,lexical,0.625,lexical tiebreak among 6 same-specificity candidates
FORD2015,1.1,FORD2015 subfield Mathematics,FOR,4904,Pure mathematics,group,False,lexical,0.622,lexical tiebreak among 6 same-specificity candidates
FORD2015,1.1,FORD2015 subfield Mathematics,FOR,4999,Other mathematical sciences,group,False,lexical,0.5,lexical tiebreak among 6 same-specificity candidates
FORD2015,1.1,FORD2015 subfield Mathematics,FOR,4903,Numerical and computational mathematics,group,False,lexical,0.471,lexical tiebreak among 6 same-specificity candidates
FORD2015,1.1,FORD2015 subfield Mathematics,FOR,4902,Mathematical physics,group,False,lexical,0.449,lexical tiebreak among 6 same-specificity candidates
FORD2015,1.1,FORD2015 subfield Mathematics,FOR,4905,Statistics,group,False,lexical,0.359,lexical tiebreak among 6 same-specificity candidates
FORD2015,1.2,FORD2015 subfield Computer and information sciences,FOR,451703,Pacific Peoples computing technology use and design,field,True,lexical,0.373,lexical tiebreak among 3 same-specificity candidates
FORD2015,1.2,FORD2015 subfield Computer and information sciences,FOR,450603,Aboriginal and Torres Strait Islander computing technology use and design,field,False,lexical,0.355,lexical tiebreak among 3 same-specificity candidates
FORD2015,1.2,FORD2015 subfield Computer and information sciences,FOR,451203,Te whakamahi me te hoahoa o te hangarau rorohiko o te Māori (Māori computing technology use and design),field,False,lexical,0.247,lexical tiebreak among 3 same-specificity candidates
FORD2015,1.3,FORD2015 subfield Physical sciences,FOR,450601,Aboriginal and Torres Strait Islander astronomy and cosmology,field,True,lexical,0.208,lexical tiebreak among 3 same-specificity candidates; excluded: 510304 Thermodynamics and statistical physics
FORD2015,1.3,FORD2015 subfield Physical sciences,FOR,451701,Pacific Peoples astronomy and cosmology,field,False,lexical,0.189,lexical tiebreak among 3 same-specificity candidates; excluded: 510304 Thermodynamics and statistical physics
FORD2015,1.3,FORD2015 subfield Physical sciences,FOR,451201,Te mātai arorangi me te mātai tuarangi o te Māori (Māori astronomy and cosmology),field,False,lexical,0.121,lexical tiebreak among 3 same-specificity candidates; excluded: 510304 Thermodynamics and statistical physics
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3404,Medicinal and biomolecular chemistry,group,False,lexical,0.254,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3401,Analytical chemistry,group,False,lexical,0.327,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3403,Macromolecular and materials chemistry,group,False,lexical,0.329,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3402,Inorganic chemistry,group,False,lexical,0.37,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3407,Theoretical and computational chemistry,group,False,lexical,0.378,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3405,Organic chemistry,group,False,lexical,0.385,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3499,Other chemical sciences,group,True,lexical,0.69,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.4,FORD2015 subfield Chemical sciences,FOR,3406,Physical chemistry,group,False,lexical,0.377,lexical tiebreak among 8 same-specificity candidates; excluded: 340406 Molecular medicine; 349901 Forensic chemistry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4101,Climate change impacts and adaptation,group,False,lexical,0.253,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3703,Geochemistry,group,False,lexical,0.057,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3705,Geology,group,False,lexical,0.092,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3706,Geophysics,group,False,lexical,0.118,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3707,Hydrology,group,False,lexical,0.119,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3708,Oceanography,group,False,lexical,0.143,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4102,Ecological applications,group,False,lexical,0.148,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3704,Geoinformatics,group,False,lexical,0.194,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4105,Pollution and contamination,group,False,lexical,0.329,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4509,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),group,False,lexical,0.361,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3702,Climate change science,group,False,lexical,0.35,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4104,Environmental management,group,False,lexical,0.39,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3799,Other earth sciences,group,False,lexical,0.436,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4515,Pacific Peoples environmental knowledges,group,False,lexical,0.469,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4503,Aboriginal and Torres Strait Islander environmental knowledges and management,group,False,lexical,0.474,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3709,Physical geography and environmental geoscience,group,False,lexical,0.571,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,4199,Other environmental sciences,group,True,lexical,0.628,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.5,FORD2015 subfield Earth and related Environmental sciences,FOR,3701,Atmospheric sciences,group,False,lexical,0.333,lexical tiebreak among 18 same-specificity candidates; excluded: 410103 Human impacts of climate change and human adaptation; 410401 Conservation and biodiversity; 450301 Aboriginal and Torres Strait Islander agriculture and forestry; 450901 Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry); 451501 Pacific Peoples agriculture and forestry
FORD2015,1.6,FORD2015 subfield Biological sciences,FOR,451206,Te mātai huingaira o te Māori (Māori genomics),field,False,lexical,0.217,lexical tiebreak among 7 same-specificity candidates; excluded: 319901 Forensic biology
FORD2015,1.6,FORD2015 subfield Biological sciences,FOR,451705,Pacific Peoples genomics,field,False,lexical,0.295,lexical tiebreak among 7 same-specificity candidates; excluded: 319901 Forensic biology
FORD2015,1.6,FORD2015 subfield Biological sciences,FOR,410401,Conservation and biodiversity,field,False,lexical,0.333,lexical tiebreak among 7 same-specificity candidates; excluded: 319901 Forensic biology
FORD2015,1.6,FORD2015 subfield Biological sciences,FOR,450605,Aboriginal and Torres Strait Islander genomics,field,False,lexical,0.337,lexical tiebreak among 7 same-specificity candidates; excluded: 319901 Forensic biology
FORD2015,1.6,FORD2015 subfield Biological sciences,FOR,450602,Aboriginal and Torres Strait Islander biological sciences,field,False,lexical,0.574,lexical tiebreak among 7 same-specificity candidates; excluded: 319901 Forensic biology
FORD2015,1.6,FORD2015 subfield Biological sciences,FOR,451702,Pacific Peoples biological sciences,field,True,lexical,0.667,lexical tiebreak among 7 same-specificity candidates; excluded: 319901 Forensic biology
FORD2015,1.6,FORD2015 subfield Biological sciences,FOR,451202,Ngā pūtaiao koiora o te Māori (Māori biological sciences),field,False,lexical,0.511,lexical tiebreak among 7 same-specificity candidates; excluded: 319901 Forensic biology
FORD2015,1.7,FORD2015 subfield Other natural sciences,FOR,4506,Aboriginal and Torres Strait Islander sciences,group,True,lexical,0.442,lexical tiebreak among 3 same-specificity candidates
FORD2015,1.7,FORD2015 subfield Other natural sciences,FOR,4517,Pacific Peoples sciences,group,False,lexical,0.438,lexical tiebreak among 3 same-specificity candidates
FORD2015,1.7,FORD2015 subfield Other natural sciences,FOR,4512,Ngā pūtaiao Māori (Māori sciences),group,False,lexical,0.351,lexical tiebreak among 3 same-specificity candidates
FORD2015,2.1,FORD2015 subfield Civil engineering,FOR,4005,Civil engineering,group,True,lexical,0.654,lexical tiebreak among 4 same-specificity candidates; excluded: 330102 Architectural design
FORD2015,2.1,FORD2015 subfield Civil engineering,FOR,3302,Building,group,False,lexical,0.326,lexical tiebreak among 4 same-specificity candidates; excluded: 330102 Architectural design
FORD2015,2.1,FORD2015 subfield Civil engineering,FOR,3399,Other built environment and design,group,False,lexical,0.319,lexical tiebreak among 4 same-specificity candidates; excluded: 330102 Architectural design
FORD2015,2.1,FORD2015 subfield Civil engineering,FOR,3301,Architecture,group,False,lexical,0.128,lexical tiebreak among 4 same-specificity candidates; excluded: 330102 Architectural design
FORD2015,2.10,FORD2015 subfield Nano-technology,FOR,4018,Nanotechnology,group,True,explicit_official,1.0,
FORD2015,2.11,FORD2015 subfield Other engineering and technologies,FOR,451205,Te mātauranga pūkaha o te Māori (Māori engineering),field,False,lexical,0.311,lexical tiebreak among 3 same-specificity candidates; excluded: 401413 Textile technology
FORD2015,2.11,FORD2015 subfield Other engineering and technologies,FOR,450604,Aboriginal and Torres Strait Islander engineering,field,True,lexical,0.436,lexical tiebreak among 3 same-specificity candidates; excluded: 401413 Textile technology
FORD2015,2.11,FORD2015 subfield Other engineering and technologies,FOR,451704,Pacific Peoples engineering,field,False,lexical,0.43,lexical tiebreak among 3 same-specificity candidates; excluded: 401413 Textile technology
FORD2015,2.2,"FORD2015 subfield Electrical engineering, electronic engineering, information engineering",FOR,4007,"Control engineering, mechatronics and robotics",group,True,lexical,0.474,lexical tiebreak among 4 same-specificity candidates
FORD2015,2.2,"FORD2015 subfield Electrical engineering, electronic engineering, information engineering",FOR,4008,Electrical engineering,group,False,lexical,0.396,lexical tiebreak among 4 same-specificity candidates
FORD2015,2.2,"FORD2015 subfield Electrical engineering, electronic engineering, information engineering",FOR,4006,Communications engineering,group,False,lexical,0.296,lexical tiebreak among 4 same-specificity candidates
FORD2015,2.2,"FORD2015 subfield Electrical engineering, electronic engineering, information engineering",FOR,4009,"Electronics, sensors and digital hardware",group,False,lexical,0.246,lexical tiebreak among 4 same-specificity candidates
FORD2015,2.3,FORD2015 subfield Mechanical engineering,FOR,510304,Thermodynamics and statistical physics,field,True,lexical,0.282,lexical tiebreak among 2 same-specificity candidates; excluded: 400201 Automotive combustion and fuel engineering
FORD2015,2.3,FORD2015 subfield Mechanical engineering,FOR,401906,Nuclear engineering (incl. fuel enrichment and waste processing and storage),field,False,lexical,0.224,lexical tiebreak among 2 same-specificity candidates; excluded: 400201 Automotive combustion and fuel engineering
FORD2015,2.4,FORD2015 subfield Chemical engineering,FOR,4004,Chemical engineering,group,True,explicit_official,1.0,
FORD2015,2.5,FORD2015 subfield Materials engineering,FOR,401413,Textile technology,field,True,explicit_official,1.0,
FORD2015,2.6,FORD2015 subfield Medical engineering,FOR,4003,Biomedical engineering,group,True,explicit_official,1.0,
FORD2015,2.7,FORD2015 subfield Environmental engineering,FOR,400201,Automotive combustion and fuel engineering,field,True,explicit_official,1.0,excluded: 401906 Nuclear engineering (incl. fuel enrichment and waste processing and storage)
FORD2015,2.8,FORD2015 subfield Environmental biotechnology,FOR,4103,Environmental biotechnology,group,True,explicit_official,1.0,
FORD2015,2.9,FORD2015 subfield Industrial biotechnology,FOR,3106,Industrial biotechnology,group,True,explicit_official,1.0,
FORD2015,3.1,FORD2015 subfield Basic medicine,FOR,340406,Molecular medicine,field,True,lexical,0.44,lexical tiebreak among 2 same-specificity candidates; excluded: 320401 Allergy; 320408 Transplantation immunology; 320507 Metabolic medicine; 320704 Medical parasitology; 320905 Neurology and neuromuscular diseases; 321406 Pharmacogenomics
FORD2015,3.1,FORD2015 subfield Basic medicine,FOR,320213,Medical genetics (excl. cancer genetics),field,False,lexical,0.194,lexical tiebreak among 2 same-specificity candidates; excluded: 320401 Allergy; 320408 Transplantation immunology; 320507 Metabolic medicine; 320704 Medical parasitology; 320905 Neurology and neuromuscular diseases; 321406 Pharmacogenomics
FORD2015,3.2,FORD2015 subfield Clinical medicine,FOR,320507,Metabolic medicine,field,True,lexical,0.491,lexical tiebreak among 7 same-specificity candidates; excluded: 320211 Infectious diseases; 320213 Medical genetics (excl. cancer genetics); 321503 Reproduction
FORD2015,3.2,FORD2015 subfield Clinical medicine,FOR,451602,Pacific Peoples biomedical and clinical science,field,False,lexical,0.463,lexical tiebreak among 7 same-specificity candidates; excluded: 320211 Infectious diseases; 320213 Medical genetics (excl. cancer genetics); 321503 Reproduction
FORD2015,3.2,FORD2015 subfield Clinical medicine,FOR,450402,Aboriginal and Torres Strait Islander biomedical and clinical sciences,field,False,lexical,0.457,lexical tiebreak among 7 same-specificity candidates; excluded: 320211 Infectious diseases; 320213 Medical genetics (excl. cancer genetics); 321503 Reproduction
FORD2015,3.2,FORD2015 subfield Clinical medicine,FOR,320905,Neurology and neuromuscular diseases,field,False,lexical,0.31,lexical tiebreak among 7 same-specificity candidates; excluded: 320211 Infectious diseases; 320213 Medical genetics (excl. cancer genetics); 321503 Reproduction
FORD2015,3.2,FORD2015 subfield Clinical medicine,FOR,451002,"Ngā pūtaiao koiora-hauora, haumanu hoki o te Māori (Māori biomedical and clinical sciences)",field,False,lexical,0.302,lexical tiebreak among 7 same-specificity candidates; excluded: 320211 Infectious diseases; 320213 Medical genetics (excl. cancer genetics); 321503 Reproduction
FORD2015,3.2,FORD2015 subfield Clinical medicine,FOR,320401,Allergy,field,False,lexical,0.143,lexical tiebreak among 7 same-specificity candidates; excluded: 320211 Infectious diseases; 320213 Medical genetics (excl. cancer genetics); 321503 Reproduction
FORD2015,3.2,FORD2015 subfield Clinical medicine,FOR,320408,Transplantation immunology,field,False,lexical,0.131,lexical tiebreak among 7 same-specificity candidates; excluded: 320211 Infectious diseases; 320213 Medical genetics (excl. cancer genetics); 321503 Reproduction
FORD2015,3.3,FORD2015 subfield Health sciences,FOR,500106,Medical ethics,field,False,lexical,0.298,lexical tiebreak among 3 same-specificity candidates
FORD2015,3.3,FORD2015 subfield Health sciences,FOR,320704,Medical parasitology,field,False,lexical,0.189,lexical tiebreak among 3 same-specificity candidates
FORD2015,3.3,FORD2015 subfield Health sciences,FOR,320211,Infectious diseases,field,True,lexical,0.346,lexical tiebreak among 3 same-specificity candidates
FORD2015,3.4,FORD2015 subfield Medical biotechnology,FOR,321406,Pharmacogenomics,field,False,lexical,0.182,lexical tiebreak among 2 same-specificity candidates
FORD2015,3.4,FORD2015 subfield Medical biotechnology,FOR,321503,Reproduction,field,True,lexical,0.275,lexical tiebreak among 2 same-specificity candidates
FORD2015,3.5,FORD2015 subfield Other medical sciences,FOR,500203,History and philosophy of medicine,field,True,lexical,0.405,lexical tiebreak among 4 same-specificity candidates
FORD2015,3.5,FORD2015 subfield Other medical sciences,FOR,319901,Forensic biology,field,False,lexical,0.25,lexical tiebreak among 4 same-specificity candidates
FORD2015,3.5,FORD2015 subfield Other medical sciences,FOR,349901,Forensic chemistry,field,False,lexical,0.241,lexical tiebreak among 4 same-specificity candidates
FORD2015,3.5,FORD2015 subfield Other medical sciences,FOR,520103,Forensic psychology,field,False,lexical,0.237,lexical tiebreak among 4 same-specificity candidates
FORD2015,4.1,"FORD2015 subfield Agriculture, forestry and fisheries",FOR,451501,Pacific Peoples agriculture and forestry,field,True,lexical,0.538,lexical tiebreak among 3 same-specificity candidates
FORD2015,4.1,"FORD2015 subfield Agriculture, forestry and fisheries",FOR,450301,Aboriginal and Torres Strait Islander agriculture and forestry,field,False,lexical,0.487,lexical tiebreak among 3 same-specificity candidates
FORD2015,4.1,"FORD2015 subfield Agriculture, forestry and fisheries",FOR,450901,Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry),field,False,lexical,0.388,lexical tiebreak among 3 same-specificity candidates
FORD2015,4.2,FORD2015 subfield Animal and dairy science,FOR,3003,Animal production,group,True,explicit_official,1.0,
FORD2015,4.3,FORD2015 subfield Veterinary science,FOR,3009,Veterinary sciences,group,True,explicit_official,1.0,
FORD2015,4.4,FORD2015 subfield Agricultural biotechnology,FOR,3001,Agricultural biotechnology,group,True,explicit_official,1.0,
FORD2015,4.5,FORD2015 subfield Other agricultural sciences,FOR,3009,Veterinary sciences,group,True,explicit_official,1.0,
FORD2015,5.1,FORD2015 subfield Psychology and cognitive sciences,FOR,451613,Pacific Peoples psychology,field,True,lexical,0.39,lexical tiebreak among 3 same-specificity candidates; excluded: 520103 Forensic psychology
FORD2015,5.1,FORD2015 subfield Psychology and cognitive sciences,FOR,450416,Aboriginal and Torres Strait Islander psychology,field,False,lexical,0.364,lexical tiebreak among 3 same-specificity candidates; excluded: 520103 Forensic psychology
FORD2015,5.1,FORD2015 subfield Psychology and cognitive sciences,FOR,451013,Mātauranga hinengaro kaupapa Māori (Māori psychology),field,False,lexical,0.288,lexical tiebreak among 3 same-specificity candidates; excluded: 520103 Forensic psychology
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,450115,Aboriginal and Torres Strait Islander research methods,field,False,lexical,0.273,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451112,Te ahumoni Māori (Māori finance),field,False,lexical,0.25,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451101,Te mahi kaute o te Māori (Māori accounting),field,False,lexical,0.241,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451104,Ngā mahi tauhokohoko o te Māori (Māori commerce),field,False,lexical,0.227,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,450101,Aboriginal and Torres Strait Islander archaeology,field,False,lexical,0.273,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451117,Te whakahaere o te Māori (Māori management),field,False,lexical,0.217,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,450117,"Aboriginal and Torres Strait Islander ways of knowing, being and doing",field,False,lexical,0.216,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451118,Te whakamākete o te Māori (Māori marketing),field,False,lexical,0.169,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451129,Te mahi tāpoi Māori (Māori tourism),field,False,lexical,0.133,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451119,Ngā hinonga pāpori kaupapa atawhai o te Māori (Māori not-for-profit social enterprises),field,False,lexical,0.22,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,450116,Aboriginal and Torres Strait Islander visual arts and crafts,field,False,lexical,0.276,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,450104,Aboriginal and Torres Strait Islander culture,field,False,lexical,0.279,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451825,Pacific Peoples tourism,field,False,lexical,0.286,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451815,Pacific Peoples management,field,False,lexical,0.303,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,450112,Aboriginal and Torres Strait Islander philosophy,field,False,lexical,0.306,lexical tiebreak among 22 same-specificity candidates
FORD2015,5.2,FORD2015 subfield Economics and business,FOR,451816,Pacific Peoples marketing,field,False,lexical,0.308,lexical tiebreak among 22 same-specificity candidates
