source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
OpenAlex,11,Agricultural and Biological Sciences,FOR,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",division,True,constrained_lexical,0.188,
OpenAlex,12,Arts and Humanities,FOR,47,"LANGUAGE, COMMUNICATION AND CULTURE",division,True,constrained_lexical,0.165,
OpenAlex,13,"Biochemistry, Genetics and Molecular Biology",FOR,31,BIOLOGICAL SCIENCES,division,True,constrained_lexical,0.155,
OpenAlex,14,"Business, Management and Accounting",FOR,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",division,True,constrained_lexical,0.303,
OpenAlex,15,Chemical Engineering,FOR,40,ENGINEERING,division,True,exact_match,1.0,
OpenAlex,16,Chemistry,FOR,34,CHEMICAL SCIENCES,division,True,constrained_lexical,0.245,
OpenAlex,17,Computer Science,FOR,46,INFORMATION AND COMPUTING SCIENCES,division,True,constrained_lexical,0.334,
OpenAlex,18,Decision Sciences,FOR,46,INFORMATION AND COMPUTING SCIENCES,division,True,constrained_lexical,0.357,
OpenAlex,19,Earth and Planetary Sciences,FOR,37,EARTH SCIENCES,division,True,constrained_lexical,0.238,
OpenAlex,20,"Economics, Econometrics and Finance",FOR,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",division,True,constrained_lexical,0.23,
OpenAlex,21,Energy,FOR,40,ENGINEERING,division,True,constrained_lexical,0.371,
OpenAlex,22,Engineering,FOR,40,ENGINEERING,division,True,exact_match,1.0,
OpenAlex,23,Environmental Science,FOR,41,ENVIRONMENTAL SCIENCES,division,True,exact_match,1.0,
OpenAlex,24,Immunology and Microbiology,FOR,31,BIOLOGICAL SCIENCES,division,True,constrained_lexical,0.173,
OpenAlex,25,Materials Science,FOR,40,ENGINEERING,division,True,constrained_lexical,0.232,
OpenAlex,26,Mathematics,FOR,49,MATHEMATICAL SCIENCES,division,True,constrained_lexical,0.304,
OpenAlex,27,Medicine,FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,True,constrained_lexical,0.097,
OpenAlex,28,Neuroscience,FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,True,exact_match,1.0,
OpenAlex,29,Nursing,FOR,42,HEALTH SCIENCES,division,True,exact_match,1.0,
OpenAlex,30,"Pharmacology, Toxicology and Pharmaceutics",FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,True,constrained_lexical,0.197,
OpenAlex,31,Physics and Astronomy,FOR,51,PHYSICAL SCIENCES,division,True,constrained_lexical,0.266,
OpenAlex,32,Psychology,FOR,52,PSYCHOLOGY,division,True,exact_match,1.0,
OpenAlex,33,Social Sciences,FOR,44,HUMAN SOCIETY,division,True,constrained_lexical,0.129,
OpenAlex,34,Veterinary,FOR,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",division,True,exact_match,1.0,
OpenAlex,35,Dentistry,FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,True,exact_match,1.0,
OpenAlex,36,Health Professions,FOR,42,HEALTH SCIENCES,division,True,manual_override,0.7,obviously Health Sciences on inspection; lexical overlap was a noise-level near-tie with Info/Computing Sciences
