source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
OpenAlex,11,Agricultural and Biological Sciences,FOR,3004,Crop and pasture production,group,True,constrained_lexical,0.059,constrained to groups within division 30
OpenAlex,12,Arts and Humanities,FOR,4705,Literary studies,group,True,constrained_lexical,0.084,constrained to groups within division 47
OpenAlex,13,"Biochemistry, Genetics and Molecular Biology",FOR,3105,Genetics,group,True,constrained_lexical,0.042,constrained to groups within division 31
OpenAlex,14,"Business, Management and Accounting",FOR,3507,"Strategy, management and organisational behaviour",group,True,constrained_lexical,0.092,constrained to groups within division 35
OpenAlex,15,Chemical Engineering,FOR,4004,Chemical engineering,group,True,exact_match,1.0,from division-level exact match
OpenAlex,17,Computer Science,FOR,4605,Data management and data science,group,True,constrained_lexical,0.062,constrained to groups within division 46
OpenAlex,18,Decision Sciences,FOR,4609,Information systems,group,True,constrained_lexical,0.124,constrained to groups within division 46
OpenAlex,26,Mathematics,FOR,4904,Pure mathematics,group,True,constrained_lexical,0.152,constrained to groups within division 49
OpenAlex,27,Medicine,FOR,3202,Clinical sciences,group,True,constrained_lexical,0.031,constrained to groups within division 32
OpenAlex,28,Neuroscience,FOR,3209,Neurosciences,group,True,exact_match,1.0,from division-level exact match
OpenAlex,29,Nursing,FOR,4205,Nursing,group,True,exact_match,1.0,from division-level exact match
OpenAlex,30,"Pharmacology, Toxicology and Pharmaceutics",FOR,3214,Pharmacology and pharmaceutical sciences,group,True,constrained_lexical,0.098,constrained to groups within division 32
OpenAlex,31,Physics and Astronomy,FOR,5101,Astronomical sciences,group,True,constrained_lexical,0.09,constrained to groups within division 51
OpenAlex,32,Psychology,FOR,5201,Applied and developmental psychology,group,True,constrained_lexical,0.061,constrained to groups within division 52
OpenAlex,33,Social Sciences,FOR,4410,Sociology,group,True,constrained_lexical,0.042,constrained to groups within division 44
OpenAlex,34,Veterinary,FOR,3009,Veterinary sciences,group,True,exact_match,1.0,from division-level exact match
OpenAlex,35,Dentistry,FOR,3203,Dentistry,group,True,exact_match,1.0,from division-level exact match
OpenAlex,36,Health Professions,FOR,4203,Health services and systems,group,True,constrained_lexical,0.086,constrained to groups within division 42
