source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3002,"Agriculture, land and farm management",group,True,constrained_lexical,0.301,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3107,Microbiology,group,False,constrained_lexical,0.0,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3106,Industrial biotechnology,group,False,constrained_lexical,0.0,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3105,Genetics,group,False,constrained_lexical,0.018,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3103,Ecology,group,False,constrained_lexical,0.024,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3009,Veterinary sciences,group,False,constrained_lexical,0.03,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3109,Zoology,group,False,constrained_lexical,0.035,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3008,Horticultural production,group,False,constrained_lexical,0.037,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3004,Crop and pasture production,group,False,constrained_lexical,0.04,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3003,Animal production,group,False,constrained_lexical,0.048,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3007,Forestry sciences,group,False,constrained_lexical,0.033,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3005,Fisheries sciences,group,False,constrained_lexical,0.08,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3006,Food sciences,group,False,constrained_lexical,0.05,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3108,Plant biology,group,False,constrained_lexical,0.218,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3102,Bioinformatics and computational biology,group,False,constrained_lexical,0.206,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3001,Agricultural biotechnology,group,False,constrained_lexical,0.179,"constrained to groups within division(s) 30,31"
OpenAlex,1100,General Agricultural and Biological Sciences,FOR,3104,Evolutionary biology,group,False,constrained_lexical,0.222,"constrained to groups within division(s) 30,31"
