source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
SEO1998,61,DEFENCE,SEO,14,DEFENCE,division,True,derived_empirical,1.0,"rolled up from 5 SEO1998 leaf-level mapping(s), 5 agreeing"
SEO1998,6101,DEFENCE,SEO,1401,Defence,group,True,derived_empirical,1.0,"rolled up from 5 SEO1998 leaf-level mapping(s), 5 agreeing"
SEO1998,610101,Navy,SEO,140110,Personnel,objective,False,explicit_official_transitive,0.154,SEO1998->810109 (2008)->140110 (2020)
SEO1998,610101,Navy,SEO,140107,Logistics,objective,False,explicit_official_transitive,0.0,SEO1998->810106 (2008)->140107 (2020)
SEO1998,610101,Navy,SEO,140105,"Intelligence, surveillance and space",objective,False,explicit_official_transitive,0.125,SEO1998->810105 (2008)->140105 (2020)
SEO1998,610101,Navy,SEO,140102,"Command, control and communications",objective,False,explicit_official_transitive,0.103,SEO1998->810103 (2008)->140102 (2020)
SEO1998,610101,Navy,SEO,140108,Maritime,objective,True,explicit_official_transitive,0.9,SEO1998->810108 (2008)->140108 (2020)
SEO1998,610102,Army,SEO,140106,Land,objective,True,explicit_official_transitive,0.9,SEO1998->810102 (2008)->140106 (2020)
SEO1998,610102,Army,SEO,140102,"Command, control and communications",objective,False,explicit_official_transitive,0.154,SEO1998->810103 (2008)->140102 (2020)
SEO1998,610102,Army,SEO,140110,Personnel,objective,False,explicit_official_transitive,0.154,SEO1998->810109 (2008)->140110 (2020)
SEO1998,610102,Army,SEO,140105,"Intelligence, surveillance and space",objective,False,explicit_official_transitive,0.0,SEO1998->810105 (2008)->140105 (2020)
SEO1998,610102,Army,SEO,140107,Logistics,objective,False,explicit_official_transitive,0.0,SEO1998->810106 (2008)->140107 (2020)
SEO1998,610103,Air Force,SEO,140102,"Command, control and communications",objective,False,explicit_official_transitive,0.136,SEO1998->810103 (2008)->140102 (2020)
SEO1998,610103,Air Force,SEO,140107,Logistics,objective,False,explicit_official_transitive,0.222,SEO1998->810106 (2008)->140107 (2020)
SEO1998,610103,Air Force,SEO,140110,Personnel,objective,False,explicit_official_transitive,0.333,SEO1998->810109 (2008)->140110 (2020)
SEO1998,610103,Air Force,SEO,140101,Air,objective,True,explicit_official_transitive,0.9,SEO1998->810101 (2008)->140101 (2020)
SEO1998,610103,Air Force,SEO,140105,"Intelligence, surveillance and space",objective,False,explicit_official_transitive,0.286,SEO1998->810105 (2008)->140105 (2020)
SEO1998,610104,Combined Operations,SEO,140110,Personnel,objective,False,explicit_official_transitive,0.357,SEO1998->810109 (2008)->140110 (2020)
SEO1998,610104,Combined Operations,SEO,140102,"Command, control and communications",objective,True,explicit_official_transitive,0.481,SEO1998->810103 (2008)->140102 (2020)
SEO1998,610104,Combined Operations,SEO,140107,Logistics,objective,False,explicit_official_transitive,0.357,SEO1998->810106 (2008)->140107 (2020)
SEO1998,610104,Combined Operations,SEO,140104,Emerging defence technologies,objective,False,explicit_official_transitive,0.333,SEO1998->810104 (2008)->140104 (2020)
SEO1998,610104,Combined Operations,SEO,140105,"Intelligence, surveillance and space",objective,False,explicit_official_transitive,0.323,SEO1998->810105 (2008)->140105 (2020)
SEO1998,610104,Combined Operations,SEO,140109,National security,objective,False,explicit_official_transitive,0.389,SEO1998->810107 (2008)->140109 (2020)
SEO1998,610199,Other,SEO,140102,"Command, control and communications",objective,False,explicit_official_transitive,0.15,SEO1998->810103 (2008)->140102 (2020)
SEO1998,610199,Other,SEO,140104,Emerging defence technologies,objective,False,explicit_official_transitive,0.118,SEO1998->810104 (2008)->140104 (2020)
SEO1998,610199,Other,SEO,140109,National security,objective,False,explicit_official_transitive,0.182,SEO1998->810107 (2008)->140109 (2020)
SEO1998,610199,Other,SEO,140110,Personnel,objective,False,explicit_official_transitive,0.286,SEO1998->810109 (2008)->140110 (2020)
SEO1998,610199,Other,SEO,140199,Defence not elsewhere classified,objective,False,explicit_official_transitive,0.27,SEO1998->810199 (2008)->140199 (2020)
SEO1998,610199,Other,SEO,140107,Logistics,objective,True,explicit_official_transitive,0.286,SEO1998->810106 (2008)->140107 (2020)
SEO1998,610199,Other,SEO,140105,"Intelligence, surveillance and space",objective,False,explicit_official_transitive,0.235,SEO1998->810105 (2008)->140105 (2020)
