for_division_code,for_division_label,leiden_main_field_id,leiden_main_field_label,is_primary,share,n_rows,match_method
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",4,Life and earth sciences,True,0.723,202,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1,Social sciences and humanities,False,0.109,202,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",2,Biomedical and health sciences,False,0.104,202,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",3,Physical sciences and engineering,False,0.05,202,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",5,Mathematics and computer science,False,0.015,202,derived_empirical
31,BIOLOGICAL SCIENCES,4,Life and earth sciences,True,0.723,202,derived_empirical
31,BIOLOGICAL SCIENCES,1,Social sciences and humanities,False,0.109,202,derived_empirical
31,BIOLOGICAL SCIENCES,2,Biomedical and health sciences,False,0.104,202,derived_empirical
31,BIOLOGICAL SCIENCES,3,Physical sciences and engineering,False,0.05,202,derived_empirical
31,BIOLOGICAL SCIENCES,5,Mathematics and computer science,False,0.015,202,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,4,Life and earth sciences,False,0.006,648,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,5,Mathematics and computer science,False,0.012,648,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,3,Physical sciences and engineering,False,0.012,648,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,1,Social sciences and humanities,False,0.034,648,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2,Biomedical and health sciences,True,0.935,648,derived_empirical
33,BUILT ENVIRONMENT AND DESIGN,3,Physical sciences and engineering,True,0.581,492,derived_empirical
33,BUILT ENVIRONMENT AND DESIGN,5,Mathematics and computer science,False,0.329,492,derived_empirical
33,BUILT ENVIRONMENT AND DESIGN,1,Social sciences and humanities,False,0.047,492,derived_empirical
33,BUILT ENVIRONMENT AND DESIGN,4,Life and earth sciences,False,0.026,492,derived_empirical
33,BUILT ENVIRONMENT AND DESIGN,2,Biomedical and health sciences,False,0.016,492,derived_empirical
