for_division_code,for_division_label,openalex_field_id,openalex_field_label,is_primary,share,match_method
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",11,Agricultural and Biological Sciences,True,1.0,manual_curated
31,BIOLOGICAL SCIENCES,11,Agricultural and Biological Sciences,True,1.0,manual_curated
32,BIOMEDICAL AND CLINICAL SCIENCES,27,Medicine,True,1.0,manual_curated
33,BUILT ENVIRONMENT AND DESIGN,22,Engineering,True,1.0,manual_curated
34,CHEMICAL SCIENCES,16,Chemistry,True,1.0,manual_curated
35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",14,"Business, Management and Accounting",True,1.0,manual_curated
36,CREATIVE ARTS AND WRITING,12,Arts and Humanities,True,1.0,manual_curated
37,EARTH SCIENCES,19,Earth and Planetary Sciences,True,1.0,manual_curated
38,ECONOMICS,20,"Economics, Econometrics and Finance",True,1.0,manual_curated
39,EDUCATION,33,Social Sciences,True,1.0,manual_curated
40,ENGINEERING,22,Engineering,True,1.0,manual_curated
41,ENVIRONMENTAL SCIENCES,23,Environmental Science,True,1.0,manual_curated
42,HEALTH SCIENCES,27,Medicine,True,1.0,manual_curated
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",12,Arts and Humanities,True,1.0,manual_curated
44,HUMAN SOCIETY,33,Social Sciences,True,1.0,manual_curated
46,INFORMATION AND COMPUTING SCIENCES,17,Computer Science,True,1.0,manual_curated
47,"LANGUAGE, COMMUNICATION AND CULTURE",12,Arts and Humanities,True,1.0,manual_curated
48,LAW AND LEGAL STUDIES,33,Social Sciences,True,1.0,manual_curated
49,MATHEMATICAL SCIENCES,26,Mathematics,True,1.0,manual_curated
50,PHILOSOPHY AND RELIGIOUS STUDIES,12,Arts and Humanities,True,1.0,manual_curated
51,PHYSICAL SCIENCES,31,Physics and Astronomy,True,1.0,manual_curated
52,PSYCHOLOGY,32,Psychology,True,1.0,manual_curated
