for_division_code,for_division_label,openalex_subfield_id,openalex_subfield_label,is_primary,share,n_rows
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1110,Plant Science,True,0.267,30
31,BIOLOGICAL SCIENCES,1312,Molecular Biology,True,0.3,30
32,BIOMEDICAL AND CLINICAL SCIENCES,2735,"Pediatrics, Perinatology and Child Health",True,0.1,30
33,BUILT ENVIRONMENT AND DESIGN,2216,Architecture,True,0.1,30
34,CHEMICAL SCIENCES,1605,Organic Chemistry,True,0.3,30
35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1408,Strategy and Management,True,0.233,30
36,CREATIVE ARTS AND WRITING,1213,Visual Arts and Performing Arts,True,0.233,30
37,EARTH SCIENCES,2312,Water Science and Technology,True,0.133,30
38,ECONOMICS,2002,Economics and Econometrics,True,0.2,30
39,EDUCATION,3304,Education,True,0.233,30
40,ENGINEERING,2208,Electrical and Electronic Engineering,True,0.267,30
41,ENVIRONMENTAL SCIENCES,2312,Water Science and Technology,True,0.2,30
42,HEALTH SCIENCES,3600,General Health Professions,True,0.167,30
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",1202,History,True,0.133,30
44,HUMAN SOCIETY,3312,Sociology and Political Science,True,0.233,30
46,INFORMATION AND COMPUTING SCIENCES,1702,Artificial Intelligence,True,0.3,30
47,"LANGUAGE, COMMUNICATION AND CULTURE",1208,Literature and Literary Theory,True,0.233,30
48,LAW AND LEGAL STUDIES,3308,Law,True,0.167,30
49,MATHEMATICAL SCIENCES,2613,Statistics and Probability,True,0.133,30
50,PHILOSOPHY AND RELIGIOUS STUDIES,1211,Philosophy,True,0.167,30
51,PHYSICAL SCIENCES,3103,Astronomy and Astrophysics,True,0.233,30
52,PSYCHOLOGY,3204,Developmental and Educational Psychology,True,0.2,30
