for_group_code,for_group_label,leiden_main_field_id,leiden_main_field_label,is_primary,share,n_rows,match_method
3001,Agricultural biotechnology,1,Social sciences and humanities,True,0.714,7,derived_empirical
3001,Agricultural biotechnology,4,Life and earth sciences,False,0.286,7,derived_empirical
3002,"Agriculture, land and farm management",4,Life and earth sciences,True,0.778,9,derived_empirical
3002,"Agriculture, land and farm management",2,Biomedical and health sciences,False,0.222,9,derived_empirical
3003,Animal production,4,Life and earth sciences,True,0.625,8,derived_empirical
3003,Animal production,2,Biomedical and health sciences,False,0.25,8,derived_empirical
3003,Animal production,3,Physical sciences and engineering,False,0.125,8,derived_empirical
3004,Crop and pasture production,4,Life and earth sciences,True,0.778,9,derived_empirical
3004,Crop and pasture production,2,Biomedical and health sciences,False,0.222,9,derived_empirical
3005,Fisheries sciences,2,Biomedical and health sciences,False,0.167,6,derived_empirical
3005,Fisheries sciences,4,Life and earth sciences,True,0.833,6,derived_empirical
3006,Food sciences,4,Life and earth sciences,True,0.387,31,derived_empirical
3006,Food sciences,3,Physical sciences and engineering,False,0.226,31,derived_empirical
3006,Food sciences,1,Social sciences and humanities,False,0.226,31,derived_empirical
3006,Food sciences,2,Biomedical and health sciences,False,0.097,31,derived_empirical
3006,Food sciences,5,Mathematics and computer science,False,0.065,31,derived_empirical
3007,Forestry sciences,1,Social sciences and humanities,True,0.667,3,derived_empirical
3007,Forestry sciences,4,Life and earth sciences,False,0.333,3,derived_empirical
3009,Veterinary sciences,2,Biomedical and health sciences,False,0.25,8,derived_empirical
3009,Veterinary sciences,4,Life and earth sciences,True,0.625,8,derived_empirical
3009,Veterinary sciences,3,Physical sciences and engineering,False,0.125,8,derived_empirical
3099,"Other agricultural, veterinary and food sciences",4,Life and earth sciences,False,0.286,7,derived_empirical
3099,"Other agricultural, veterinary and food sciences",1,Social sciences and humanities,True,0.714,7,derived_empirical
3101,Biochemistry and cell biology,2,Biomedical and health sciences,True,0.667,6,derived_empirical
3101,Biochemistry and cell biology,3,Physical sciences and engineering,False,0.167,6,derived_empirical
3101,Biochemistry and cell biology,1,Social sciences and humanities,False,0.167,6,derived_empirical
3102,Bioinformatics and computational biology,2,Biomedical and health sciences,True,0.795,132,derived_empirical
3102,Bioinformatics and computational biology,3,Physical sciences and engineering,False,0.083,132,derived_empirical
3102,Bioinformatics and computational biology,4,Life and earth sciences,False,0.068,132,derived_empirical
3102,Bioinformatics and computational biology,5,Mathematics and computer science,False,0.053,132,derived_empirical
3103,Ecology,4,Life and earth sciences,True,0.969,32,derived_empirical
3103,Ecology,2,Biomedical and health sciences,False,0.031,32,derived_empirical
