for_group_code,for_group_label,openalex_domain_id,openalex_domain_label,is_primary,share,n_rows
3001,Agricultural biotechnology,1,Life Sciences,True,0.367,30
3002,"Agriculture, land and farm management",3,Physical Sciences,True,0.3,30
3003,Animal production,1,Life Sciences,True,0.3,30
3004,Crop and pasture production,3,Physical Sciences,True,0.233,30
3005,Fisheries sciences,1,Life Sciences,True,0.2,30
3006,Food sciences,1,Life Sciences,True,0.267,30
3007,Forestry sciences,3,Physical Sciences,True,0.267,30
3008,Horticultural production,3,Physical Sciences,True,0.233,30
3009,Veterinary sciences,4,Health Sciences,True,0.467,30
3099,"Other agricultural, veterinary and food sciences",1,Life Sciences,True,0.467,30
3101,Biochemistry and cell biology,1,Life Sciences,True,0.3,30
3102,Bioinformatics and computational biology,3,Physical Sciences,True,0.267,30
3103,Ecology,3,Physical Sciences,True,0.4,30
3104,Evolutionary biology,1,Life Sciences,True,0.4,30
3105,Genetics,1,Life Sciences,True,0.6,30
3106,Industrial biotechnology,3,Physical Sciences,True,0.433,30
3107,Microbiology,3,Physical Sciences,True,0.333,30
3108,Plant biology,1,Life Sciences,True,0.3,30
3109,Zoology,1,Life Sciences,True,0.3,30
3199,Other biological sciences,1,Life Sciences,True,0.2,30
3201,Cardiovascular medicine and haematology,4,Health Sciences,True,0.633,30
3202,Clinical sciences,4,Health Sciences,True,0.4,30
3203,Dentistry,4,Health Sciences,True,0.3,30
3204,Immunology,3,Physical Sciences,True,0.3,30
3205,Medical biochemistry and metabolomics,1,Life Sciences,True,0.367,30
3206,Medical biotechnology,4,Health Sciences,True,0.233,30
3207,Medical microbiology,4,Health Sciences,True,0.667,30
3208,Medical physiology,3,Physical Sciences,True,0.2,30
3209,Neurosciences,4,Health Sciences,True,0.3,30
3210,Nutrition and dietetics,4,Health Sciences,True,0.2,30
3211,Oncology and carcinogenesis,4,Health Sciences,True,0.667,30
3212,Ophthalmology and optometry,3,Physical Sciences,True,0.367,30
3213,Paediatrics,4,Health Sciences,True,0.367,30
3214,Pharmacology and pharmaceutical sciences,2,Social Sciences,True,0.2,30
3215,Reproductive medicine,4,Health Sciences,True,0.267,30
3299,Other biomedical and clinical sciences,2,Social Sciences,True,0.233,30
3301,Architecture,2,Social Sciences,True,0.2,30
3302,Building,2,Social Sciences,True,0.367,30
3303,Design,2,Social Sciences,True,0.167,30
3304,Urban and regional planning,2,Social Sciences,True,0.233,30
3399,Other built environment and design,3,Physical Sciences,True,0.467,30
3401,Analytical chemistry,3,Physical Sciences,True,0.2,30
3402,Inorganic chemistry,3,Physical Sciences,True,0.567,30
3403,Macromolecular and materials chemistry,3,Physical Sciences,True,0.5,30
3404,Medicinal and biomolecular chemistry,1,Life Sciences,True,0.233,30
3405,Organic chemistry,3,Physical Sciences,True,0.467,30
3406,Physical chemistry,3,Physical Sciences,True,0.333,30
3407,Theoretical and computational chemistry,3,Physical Sciences,True,0.2,30
3499,Other chemical sciences,3,Physical Sciences,True,0.267,30
3501,"Accounting, auditing and accountability",2,Social Sciences,True,0.433,30
3502,"Banking, finance and investment",2,Social Sciences,True,0.333,30
3503,Business systems in context,3,Physical Sciences,True,0.3,30
3504,Commercial services,4,Health Sciences,True,0.233,30
3505,Human resources and industrial relations,4,Health Sciences,True,0.3,30
3506,Marketing,2,Social Sciences,True,0.3,30
3507,"Strategy, management and organisational behaviour",2,Social Sciences,True,0.633,30
3508,Tourism,2,Social Sciences,True,0.2,30
3509,"Transportation, logistics and supply chains",2,Social Sciences,True,0.3,30
3599,"Other commerce, management, tourism and services",4,Health Sciences,True,0.267,30
3601,"Art history, theory and criticism",2,Social Sciences,True,0.433,30
3602,Creative and professional writing,2,Social Sciences,True,0.3,30
3603,Music,2,Social Sciences,True,0.367,30
3604,Performing arts,2,Social Sciences,True,0.3,30
3605,Screen and digital media,2,Social Sciences,True,0.367,30
3606,Visual arts,2,Social Sciences,True,0.2,30
3699,Other creative arts and writing,2,Social Sciences,True,0.679,28
3701,Atmospheric sciences,3,Physical Sciences,True,0.3,30
3702,Climate change science,3,Physical Sciences,True,0.267,30
3703,Geochemistry,3,Physical Sciences,True,0.4,30
3704,Geoinformatics,3,Physical Sciences,True,0.3,30
3705,Geology,3,Physical Sciences,True,0.4,30
3706,Geophysics,3,Physical Sciences,True,0.333,30
3707,Hydrology,3,Physical Sciences,True,0.467,30
3708,Oceanography,3,Physical Sciences,True,0.233,30
3709,Physical geography and environmental geoscience,3,Physical Sciences,True,0.267,30
3799,Other earth sciences,3,Physical Sciences,True,0.233,30
3801,Applied economics,2,Social Sciences,True,0.367,30
3802,Econometrics,2,Social Sciences,True,0.267,30
3803,Economic theory,2,Social Sciences,True,0.267,30
3899,Other economics,2,Social Sciences,True,0.367,30
3901,Curriculum and pedagogy,2,Social Sciences,True,0.4,30
3902,"Education policy, sociology and philosophy",2,Social Sciences,True,0.467,30
3903,Education systems,2,Social Sciences,True,0.733,30
3904,Specialist studies in education,2,Social Sciences,True,0.567,30
