for_group_code,for_group_label,openalex_field_id,openalex_field_label,is_primary,share,n_rows
3002,"Agriculture, land and farm management",11,Agricultural and Biological Sciences,True,1.0,13
3003,Animal production,34,Veterinary,True,1.0,10
3004,Crop and pasture production,11,Agricultural and Biological Sciences,True,1.0,9
3006,Food sciences,11,Agricultural and Biological Sciences,True,1.0,31
3007,Forestry sciences,11,Agricultural and Biological Sciences,True,1.0,3
3009,Veterinary sciences,34,Veterinary,True,1.0,1
3101,Biochemistry and cell biology,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,18
3102,Bioinformatics and computational biology,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,132
3103,Ecology,23,Environmental Science,True,1.0,32
3104,Evolutionary biology,13,"Biochemistry, Genetics and Molecular Biology",False,0.059,34
3104,Evolutionary biology,11,Agricultural and Biological Sciences,True,0.941,34
3105,Genetics,13,"Biochemistry, Genetics and Molecular Biology",True,0.812,48
3105,Genetics,27,Medicine,False,0.188,48
3106,Industrial biotechnology,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,8
3107,Microbiology,11,Agricultural and Biological Sciences,True,0.424,33
3107,Microbiology,24,Immunology and Microbiology,False,0.333,33
3107,Microbiology,13,"Biochemistry, Genetics and Molecular Biology",False,0.212,33
3107,Microbiology,27,Medicine,False,0.03,33
3108,Plant biology,11,Agricultural and Biological Sciences,True,1.0,80
3109,Zoology,11,Agricultural and Biological Sciences,True,1.0,8
3201,Cardiovascular medicine and haematology,27,Medicine,True,1.0,250
3202,Clinical sciences,13,"Biochemistry, Genetics and Molecular Biology",False,0.098,41
3202,Clinical sciences,27,Medicine,True,0.732,41
3202,Clinical sciences,24,Immunology and Microbiology,False,0.171,41
3203,Dentistry,30,"Pharmacology, Toxicology and Pharmaceutics",True,0.5,2
3203,Dentistry,27,Medicine,False,0.5,2
3204,Immunology,24,Immunology and Microbiology,True,0.615,39
3204,Immunology,27,Medicine,False,0.385,39
3205,Medical biochemistry and metabolomics,13,"Biochemistry, Genetics and Molecular Biology",True,0.5,12
3205,Medical biochemistry and metabolomics,30,"Pharmacology, Toxicology and Pharmaceutics",False,0.333,12
3205,Medical biochemistry and metabolomics,27,Medicine,False,0.167,12
3206,Medical biotechnology,27,Medicine,False,0.333,3
3206,Medical biotechnology,13,"Biochemistry, Genetics and Molecular Biology",True,0.667,3
3207,Medical microbiology,27,Medicine,True,1.0,9
3208,Medical physiology,27,Medicine,True,0.744,39
3208,Medical physiology,13,"Biochemistry, Genetics and Molecular Biology",False,0.256,39
3209,Neurosciences,28,Neuroscience,True,0.744,82
3209,Neurosciences,27,Medicine,False,0.256,82
3210,Nutrition and dietetics,29,Nursing,True,1.0,17
3211,Oncology and carcinogenesis,27,Medicine,True,0.721,43
3211,Oncology and carcinogenesis,13,"Biochemistry, Genetics and Molecular Biology",False,0.279,43
3212,Ophthalmology and optometry,27,Medicine,True,1.0,12
3214,Pharmacology and pharmaceutical sciences,36,Health Professions,False,0.114,44
3214,Pharmacology and pharmaceutical sciences,27,Medicine,True,0.455,44
3214,Pharmacology and pharmaceutical sciences,30,"Pharmacology, Toxicology and Pharmaceutics",False,0.432,44
3215,Reproductive medicine,27,Medicine,True,1.0,7
3301,Architecture,22,Engineering,True,1.0,2
3302,Building,22,Engineering,True,1.0,19
3304,Urban and regional planning,33,Social Sciences,True,1.0,22
3401,Analytical chemistry,16,Chemistry,True,1.0,8
3402,Inorganic chemistry,16,Chemistry,True,1.0,12
3403,Macromolecular and materials chemistry,25,Materials Science,True,0.865,74
3403,Macromolecular and materials chemistry,16,Chemistry,False,0.135,74
3405,Organic chemistry,16,Chemistry,True,1.0,54
3406,Physical chemistry,16,Chemistry,True,1.0,8
3501,"Accounting, auditing and accountability",14,"Business, Management and Accounting",True,1.0,17
3503,Business systems in context,14,"Business, Management and Accounting",True,1.0,13
3504,Commercial services,14,"Business, Management and Accounting",True,1.0,2
3506,Marketing,14,"Business, Management and Accounting",True,0.867,15
3506,Marketing,18,Decision Sciences,False,0.133,15
3507,"Strategy, management and organisational behaviour",14,"Business, Management and Accounting",True,0.678,87
3507,"Strategy, management and organisational behaviour",18,Decision Sciences,False,0.322,87
3601,"Art history, theory and criticism",12,Arts and Humanities,True,1.0,15
3603,Music,12,Arts and Humanities,True,1.0,5
3604,Performing arts,12,Arts and Humanities,True,1.0,13
3701,Atmospheric sciences,19,Earth and Planetary Sciences,True,1.0,10
3703,Geochemistry,19,Earth and Planetary Sciences,True,1.0,6
3704,Geoinformatics,19,Earth and Planetary Sciences,True,1.0,1
3705,Geology,19,Earth and Planetary Sciences,True,1.0,5
3706,Geophysics,19,Earth and Planetary Sciences,True,1.0,10
3708,Oceanography,19,Earth and Planetary Sciences,True,1.0,15
3799,Other earth sciences,19,Earth and Planetary Sciences,True,1.0,6
3801,Applied economics,20,"Economics, Econometrics and Finance",True,1.0,21
3802,Econometrics,20,"Economics, Econometrics and Finance",True,1.0,57
3902,"Education policy, sociology and philosophy",33,Social Sciences,True,1.0,197
3903,Education systems,33,Social Sciences,True,1.0,82
3904,Specialist studies in education,33,Social Sciences,True,1.0,5
3999,Other Education,33,Social Sciences,True,1.0,28
4001,Aerospace engineering,22,Engineering,True,1.0,39
4002,Automotive engineering,22,Engineering,True,1.0,9
4003,Biomedical engineering,22,Engineering,True,1.0,66
4004,Chemical engineering,15,Chemical Engineering,True,0.889,9
4004,Chemical engineering,21,Energy,False,0.111,9
4005,Civil engineering,22,Engineering,True,1.0,40
4007,"Control engineering, mechatronics and robotics",22,Engineering,True,1.0,37
4008,Electrical engineering,21,Energy,False,0.028,108
4008,Electrical engineering,22,Engineering,True,0.972,108
4010,Engineering practice and education,22,Engineering,True,1.0,18
4011,Environmental engineering,21,Energy,True,0.526,38
4011,Environmental engineering,23,Environmental Science,False,0.447,38
4011,Environmental engineering,15,Chemical Engineering,False,0.026,38
4012,Fluid mechanics and thermal engineering,22,Engineering,True,0.862,29
4012,Fluid mechanics and thermal engineering,15,Chemical Engineering,False,0.138,29
4014,Manufacturing engineering,22,Engineering,True,0.941,17
4014,Manufacturing engineering,21,Energy,False,0.059,17
4015,Maritime engineering,22,Engineering,True,1.0,20
4016,Materials engineering,25,Materials Science,True,1.0,15
4017,Mechanical engineering,22,Engineering,True,1.0,96
4018,Nanotechnology,25,Materials Science,True,1.0,13
4019,Resources engineering and extractive metallurgy,25,Materials Science,True,1.0,1
4101,Climate change impacts and adaptation,23,Environmental Science,True,1.0,39
4102,Ecological applications,23,Environmental Science,True,1.0,3
4103,Environmental biotechnology,23,Environmental Science,True,1.0,10
4104,Environmental management,23,Environmental Science,True,1.0,60
4105,Pollution and contamination,23,Environmental Science,True,1.0,10
4106,Soil sciences,11,Agricultural and Biological Sciences,True,1.0,12
4201,Allied health and rehabilitation science,35,Dentistry,False,0.3,10
4201,Allied health and rehabilitation science,27,Medicine,True,0.7,10
4202,Epidemiology,27,Medicine,True,1.0,38
4203,Health services and systems,36,Health Professions,True,0.808,26
4203,Health services and systems,29,Nursing,False,0.115,26
4203,Health services and systems,27,Medicine,False,0.038,26
4203,Health services and systems,35,Dentistry,False,0.038,26
4205,Nursing,36,Health Professions,True,1.0,9
4206,Public health,27,Medicine,True,0.661,127
4206,Public health,36,Health Professions,False,0.339,127
4207,Sports science and exercise,36,Health Professions,True,1.0,4
4208,"Traditional, complementary and integrative medicine",36,Health Professions,False,0.174,23
4208,"Traditional, complementary and integrative medicine",27,Medicine,True,0.609,23
4208,"Traditional, complementary and integrative medicine",35,Dentistry,False,0.217,23
4299,Other health sciences,27,Medicine,True,0.795,83
4299,Other health sciences,33,Social Sciences,False,0.12,83
4299,Other health sciences,36,Health Professions,False,0.048,83
4299,Other health sciences,35,Dentistry,False,0.036,83
4303,Historical studies,12,Arts and Humanities,True,1.0,37
4401,Anthropology,33,Social Sciences,True,1.0,22
4403,Demography,33,Social Sciences,True,1.0,25
4404,Development studies,33,Social Sciences,True,1.0,4
4405,Gender studies,33,Social Sciences,True,1.0,17
4406,Human geography,33,Social Sciences,True,1.0,12
4407,Policy and administration,33,Social Sciences,True,1.0,1
4408,Political science,33,Social Sciences,True,1.0,95
4601,Applied computing,17,Computer Science,True,1.0,5
4602,Artificial intelligence,17,Computer Science,True,1.0,69
4603,Computer vision and multimedia computation,17,Computer Science,True,1.0,45
4606,Distributed computing and systems software,17,Computer Science,True,1.0,40
4607,"Graphics, augmented reality and games",17,Computer Science,True,1.0,4
4608,Human-centred computing,17,Computer Science,True,1.0,8
4609,Information systems,18,Decision Sciences,False,0.125,72
4609,Information systems,14,"Business, Management and Accounting",False,0.167,72
4609,Information systems,17,Computer Science,True,0.708,72
4610,Library and information studies,33,Social Sciences,True,1.0,2
4612,Software engineering,17,Computer Science,True,1.0,5
4613,Theory of computation,17,Computer Science,True,0.952,21
4613,Theory of computation,26,Mathematics,False,0.048,21
4702,Cultural studies,33,Social Sciences,True,1.0,22
4704,Linguistics,12,Arts and Humanities,True,1.0,15
4705,Literary studies,12,Arts and Humanities,True,1.0,43
4807,Public law,33,Social Sciences,True,1.0,31
4901,Applied mathematics,26,Mathematics,True,1.0,16
4902,Mathematical physics,26,Mathematics,True,1.0,14
4903,Numerical and computational mathematics,26,Mathematics,True,1.0,8
4904,Pure mathematics,26,Mathematics,True,1.0,16
4905,Statistics,26,Mathematics,True,0.69,29
4905,Statistics,18,Decision Sciences,False,0.31,29
5002,History and philosophy of specific fields,12,Arts and Humanities,True,1.0,11
5003,Philosophy,12,Arts and Humanities,True,1.0,38
5004,Religious studies,12,Arts and Humanities,True,1.0,12
5099,Other philosophy and religious studies,12,Arts and Humanities,True,1.0,14
5101,Astronomical sciences,31,Physics and Astronomy,True,1.0,23
5102,"Atomic, molecular and optical physics",25,Materials Science,False,0.315,54
5102,"Atomic, molecular and optical physics",31,Physics and Astronomy,True,0.685,54
5104,Condensed matter physics,31,Physics and Astronomy,True,0.667,12
5104,Condensed matter physics,25,Materials Science,False,0.333,12
5106,Nuclear and plasma physics,31,Physics and Astronomy,True,1.0,20
5107,Particle and high energy physics,31,Physics and Astronomy,True,1.0,12
5201,Applied and developmental psychology,32,Psychology,True,1.0,25
5202,Biological psychology,28,Neuroscience,True,0.5,2
5202,Biological psychology,32,Psychology,False,0.5,2
5203,Clinical and health psychology,32,Psychology,True,1.0,35
5204,Cognitive and computational psychology,32,Psychology,True,1.0,21
5205,Social and personality psychology,32,Psychology,True,1.0,45
