for_group_code,for_group_label,openalex_subfield_id,openalex_subfield_label,is_primary,share,n_rows
3001,Agricultural biotechnology,1110,Plant Science,True,0.167,30
3002,"Agriculture, land and farm management",2308,"Management, Monitoring, Policy and Law",True,0.167,30
3003,Animal production,2308,"Management, Monitoring, Policy and Law",True,0.1,30
3004,Crop and pasture production,1710,Information Systems,True,0.133,30
3005,Fisheries sciences,1311,Genetics,True,0.1,30
3006,Food sciences,1106,Food Science,True,0.233,30
3007,Forestry sciences,2306,Global and Planetary Change,True,0.133,30
3008,Horticultural production,2208,Electrical and Electronic Engineering,True,0.1,30
3009,Veterinary sciences,3404,Small Animals,True,0.133,30
3099,"Other agricultural, veterinary and food sciences",1106,Food Science,True,0.233,30
3101,Biochemistry and cell biology,1312,Molecular Biology,True,0.2,30
3102,Bioinformatics and computational biology,2613,Statistics and Probability,True,0.2,30
3103,Ecology,2303,Ecology,True,0.267,30
3104,Evolutionary biology,1105,"Ecology, Evolution, Behavior and Systematics",True,0.333,30
3105,Genetics,1312,Molecular Biology,True,0.333,30
3106,Industrial biotechnology,1312,Molecular Biology,True,0.2,30
3107,Microbiology,2303,Ecology,True,0.267,30
3108,Plant biology,1312,Molecular Biology,True,0.2,30
3109,Zoology,2303,Ecology,True,0.133,30
3199,Other biological sciences,1312,Molecular Biology,True,0.1,30
3201,Cardiovascular medicine and haematology,2746,Surgery,True,0.1,30
3202,Clinical sciences,2739,"Public Health, Environmental and Occupational Health",True,0.1,30
3203,Dentistry,2505,Materials Chemistry,True,0.167,30
3204,Immunology,1311,Genetics,True,0.1,30
3205,Medical biochemistry and metabolomics,1312,Molecular Biology,True,0.267,30
3206,Medical biotechnology,1312,Molecular Biology,True,0.167,30
3207,Medical microbiology,2739,"Public Health, Environmental and Occupational Health",True,0.133,30
3208,Medical physiology,2403,Immunology,True,0.167,30
3209,Neurosciences,2610,Mathematical Physics,True,0.067,30
3210,Nutrition and dietetics,2916,Nutrition and Dietetics,True,0.2,30
3211,Oncology and carcinogenesis,2730,Oncology,True,0.233,30
3212,Ophthalmology and optometry,2208,Electrical and Electronic Engineering,True,0.233,30
3213,Paediatrics,3203,Clinical Psychology,True,0.167,30
3214,Pharmacology and pharmaceutical sciences,2208,Electrical and Electronic Engineering,True,0.1,30
3215,Reproductive medicine,1312,Molecular Biology,True,0.1,30
3299,Other biomedical and clinical sciences,1207,History and Philosophy of Science,True,0.2,30
3301,Architecture,1207,History and Philosophy of Science,True,0.133,30
3302,Building,1407,Organizational Behavior and Human Resource Management,True,0.167,30
3303,Design,1407,Organizational Behavior and Human Resource Management,True,0.067,30
3304,Urban and regional planning,2308,"Management, Monitoring, Policy and Law",True,0.133,30
3399,Other built environment and design,2208,Electrical and Electronic Engineering,True,0.133,30
3401,Analytical chemistry,1602,Analytical Chemistry,True,0.067,30
3402,Inorganic chemistry,1605,Organic Chemistry,True,0.367,30
3403,Macromolecular and materials chemistry,2505,Materials Chemistry,True,0.3,30
3404,Medicinal and biomolecular chemistry,1312,Molecular Biology,True,0.2,30
3405,Organic chemistry,1605,Organic Chemistry,True,0.4,30
3406,Physical chemistry,1605,Organic Chemistry,True,0.2,30
3407,Theoretical and computational chemistry,1605,Organic Chemistry,True,0.167,30
3499,Other chemical sciences,1605,Organic Chemistry,True,0.233,30
3501,"Accounting, auditing and accountability",1402,Accounting,True,0.133,30
3502,"Banking, finance and investment",1402,Accounting,True,0.2,30
3503,Business systems in context,1710,Information Systems,True,0.133,30
