source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
FOR2008,01,01 Mathematical Sciences,FOR,49,MATHEMATICAL SCIENCES,division,True,derived_empirical,0.41,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 193 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,37,EARTH SCIENCES,division,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 1 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,32,BIOMEDICAL AND CLINICAL SCIENCES,division,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 1 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,48,LAW AND LEGAL STUDIES,division,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 1 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,44,HUMAN SOCIETY,division,False,derived_empirical,0.006,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 3 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,50,PHILOSOPHY AND RELIGIOUS STUDIES,division,False,derived_empirical,0.006,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 3 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,41,ENVIRONMENTAL SCIENCES,division,False,derived_empirical,0.008,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 4 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,52,PSYCHOLOGY,division,False,derived_empirical,0.004,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 2 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,38,ECONOMICS,division,False,derived_empirical,0.015,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 7 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",division,False,derived_empirical,0.03,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 14 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,31,BIOLOGICAL SCIENCES,division,False,derived_empirical,0.038,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 18 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,46,INFORMATION AND COMPUTING SCIENCES,division,False,derived_empirical,0.13,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 61 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,40,ENGINEERING,division,False,derived_empirical,0.14,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 66 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,51,PHYSICAL SCIENCES,division,False,derived_empirical,0.193,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 91 agreeing"
FOR2008,01,01 Mathematical Sciences,FOR,34,CHEMICAL SCIENCES,division,False,derived_empirical,0.013,"derived via ARC ERA journal crosswalk: 471 shared-journal vote(s) over 950 FOR2008-classified journal(s), 6 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,5107,Particle and high energy physics,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4902,Mathematical physics,group,False,derived_empirical,0.034,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 15 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4613,Theory of computation,group,False,derived_empirical,0.032,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 14 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4903,Numerical and computational mathematics,group,False,derived_empirical,0.025,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 11 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4602,Artificial intelligence,group,False,derived_empirical,0.009,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 4 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4905,Statistics,group,False,derived_empirical,0.009,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 4 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,5003,Philosophy,group,False,derived_empirical,0.005,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 2 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4604,Cybersecurity and privacy,group,False,derived_empirical,0.005,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 2 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4901,Applied mathematics,group,False,derived_empirical,0.263,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 115 agreeing"
FOR2008,0101,0101 Pure Mathematics,FOR,4904,Pure mathematics,group,True,derived_empirical,0.616,"derived via ARC ERA journal crosswalk: 438 shared-journal vote(s) over 327 FOR2008-classified journal(s), 270 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3304,Urban and regional planning,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4009,"Electronics, sensors and digital hardware",group,False,derived_empirical,0.008,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 5 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4004,Chemical engineering,group,False,derived_empirical,0.008,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 5 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3802,Econometrics,group,False,derived_empirical,0.008,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 5 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3507,"Strategy, management and organisational behaviour",group,False,derived_empirical,0.008,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 5 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4007,"Control engineering, mechatronics and robotics",group,False,derived_empirical,0.014,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 8 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4902,Mathematical physics,group,False,derived_empirical,0.015,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 9 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3502,"Banking, finance and investment",group,False,derived_empirical,0.015,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 9 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4613,Theory of computation,group,False,derived_empirical,0.017,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 10 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4012,Fluid mechanics and thermal engineering,group,False,derived_empirical,0.02,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 12 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4005,Civil engineering,group,False,derived_empirical,0.02,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 12 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4602,Artificial intelligence,group,False,derived_empirical,0.022,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 13 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4017,Mechanical engineering,group,False,derived_empirical,0.024,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 14 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3509,"Transportation, logistics and supply chains",group,False,derived_empirical,0.029,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 17 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4905,Statistics,group,False,derived_empirical,0.042,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 25 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4903,Numerical and computational mathematics,group,False,derived_empirical,0.064,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 38 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4904,Pure mathematics,group,False,derived_empirical,0.12,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 71 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4901,Applied mathematics,group,True,derived_empirical,0.453,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 268 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4610,Library and information studies,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,5103,Classical physics,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,5102,"Atomic, molecular and optical physics",group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3007,Forestry sciences,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4003,Biomedical engineering,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3705,Geology,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3505,Human resources and industrial relations,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4601,Applied computing,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4006,Communications engineering,group,False,derived_empirical,0.008,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 5 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3801,Applied economics,group,False,derived_empirical,0.007,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 4 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4603,Computer vision and multimedia computation,group,False,derived_empirical,0.007,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 4 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4606,Distributed computing and systems software,group,False,derived_empirical,0.007,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 4 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,5199,Other physical sciences,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4802,Environmental and resources law,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,5203,Clinical and health psychology,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3803,Economic theory,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,5204,Cognitive and computational psychology,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3209,Neurosciences,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3108,Plant biology,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3001,Agricultural biotechnology,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4403,Demography,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3701,Atmospheric sciences,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3706,Geophysics,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4612,Software engineering,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4404,Development studies,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3603,Music,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,3301,Architecture,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
FOR2008,0102,0102 Applied Mathematics,FOR,4011,Environmental engineering,group,False,derived_empirical,0.002,"derived via ARC ERA journal crosswalk: 592 shared-journal vote(s) over 360 FOR2008-classified journal(s), 1 agreeing"
