source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
OpenAlex,10001,Geological and Geochemical Analysis,FOR,370608,Petrophysics and rock mechanics,field,True,constrained_lexical,0.333,
OpenAlex,10001,Geological and Geochemical Analysis,FOR,370601,Applied geophysics,field,False,constrained_lexical,0.0,
OpenAlex,10001,Geological and Geochemical Analysis,FOR,370602,Electrical and electromagnetic methods in geophysics,field,False,constrained_lexical,0.0,
OpenAlex,10001,Geological and Geochemical Analysis,FOR,370603,Geodesy,field,False,constrained_lexical,0.0,
OpenAlex,10001,Geological and Geochemical Analysis,FOR,370604,Geodynamics,field,False,constrained_lexical,0.0,
OpenAlex,10001,Geological and Geochemical Analysis,FOR,370605,Geothermics and radiometrics,field,False,constrained_lexical,0.0,
OpenAlex,10002,Advanced Chemical Physics Studies,FOR,510201,Atomic and molecular physics,field,True,constrained_lexical,0.667,
OpenAlex,10002,Advanced Chemical Physics Studies,FOR,510299,"Atomic, molecular and optical physics not elsewhere classified",field,False,constrained_lexical,0.286,
OpenAlex,10002,Advanced Chemical Physics Studies,FOR,510202,Lasers and quantum electronics,field,False,constrained_lexical,0.333,
OpenAlex,10002,Advanced Chemical Physics Studies,FOR,510205,Terahertz physics,field,False,constrained_lexical,0.5,
OpenAlex,10002,Advanced Chemical Physics Studies,FOR,510203,Nonlinear optics and spectroscopy,field,False,constrained_lexical,0.0,
OpenAlex,10002,Advanced Chemical Physics Studies,FOR,510204,"Photonics, optoelectronics and optical communications",field,False,constrained_lexical,0.0,
OpenAlex,10003,Innovation and Knowledge Management,FOR,350702,Corporate social responsibility,field,False,constrained_lexical,0.333,
OpenAlex,10003,Innovation and Knowledge Management,FOR,350799,"Strategy, management and organisational behaviour not elsewhere classified",field,False,constrained_lexical,0.286,
OpenAlex,10003,Innovation and Knowledge Management,FOR,350716,Small business organisation and management,field,False,constrained_lexical,0.5,
OpenAlex,10003,Innovation and Knowledge Management,FOR,350708,Not-for-profit business and management,field,False,constrained_lexical,0.5,
OpenAlex,10003,Innovation and Knowledge Management,FOR,350705,Innovation management,field,True,contains_match,0.9,
OpenAlex,10003,Innovation and Knowledge Management,FOR,350711,Organisational planning and management,field,False,constrained_lexical,0.667,
OpenAlex,10004,Soil Carbon and Nitrogen Dynamics,FOR,410604,Soil chemistry and soil carbon sequestration (excl. carbon sequestration science),field,True,constrained_lexical,0.5,
OpenAlex,10004,Soil Carbon and Nitrogen Dynamics,FOR,410601,Land capability and soil productivity,field,False,constrained_lexical,0.25,
OpenAlex,10004,Soil Carbon and Nitrogen Dynamics,FOR,410603,Soil biology,field,False,constrained_lexical,0.5,
OpenAlex,10004,Soil Carbon and Nitrogen Dynamics,FOR,410605,Soil physics,field,False,constrained_lexical,0.5,
OpenAlex,10004,Soil Carbon and Nitrogen Dynamics,FOR,410699,Soil sciences not elsewhere classified,field,False,constrained_lexical,0.2,
OpenAlex,10004,Soil Carbon and Nitrogen Dynamics,FOR,410602,Pedology and pedometrics,field,False,constrained_lexical,0.0,
OpenAlex,10005,Ecology and Vegetation Dynamics Studies,FOR,410499,Environmental management not elsewhere classified,field,False,constrained_lexical,0.2,
OpenAlex,10005,Ecology and Vegetation Dynamics Studies,FOR,410402,Environmental assessment and monitoring,field,False,constrained_lexical,0.0,
OpenAlex,10005,Ecology and Vegetation Dynamics Studies,FOR,410406,Natural resource management,field,False,constrained_lexical,0.333,
OpenAlex,10005,Ecology and Vegetation Dynamics Studies,FOR,410407,Wildlife and habitat management,field,False,constrained_lexical,0.667,
OpenAlex,10005,Ecology and Vegetation Dynamics Studies,FOR,410401,Conservation and biodiversity,field,True,constrained_lexical,1.0,
OpenAlex,10005,Ecology and Vegetation Dynamics Studies,FOR,410404,Environmental management,field,False,constrained_lexical,0.5,
OpenAlex,10006,Job Satisfaction and Organizational Behavior,FOR,350710,Organisational behaviour,field,True,contains_match,0.9,
OpenAlex,10006,Job Satisfaction and Organizational Behavior,FOR,350799,"Strategy, management and organisational behaviour not elsewhere classified",field,False,constrained_lexical,0.429,
OpenAlex,10006,Job Satisfaction and Organizational Behavior,FOR,350711,Organisational planning and management,field,False,constrained_lexical,0.667,
OpenAlex,10006,Job Satisfaction and Organizational Behavior,FOR,350703,Disaster and emergency management,field,False,constrained_lexical,0.333,
OpenAlex,10006,Job Satisfaction and Organizational Behavior,FOR,350705,Innovation management,field,False,constrained_lexical,0.5,
OpenAlex,10006,Job Satisfaction and Organizational Behavior,FOR,350707,Leadership,field,False,constrained_lexical,1.0,
OpenAlex,10007,Monetary Policy and Economic Impact,FOR,380205,Time-series analysis,field,False,constrained_lexical,0.333,
OpenAlex,10007,Monetary Policy and Economic Impact,FOR,380299,Econometrics not elsewhere classified,field,False,constrained_lexical,0.0,
OpenAlex,10007,Monetary Policy and Economic Impact,FOR,380202,Econometric and statistical methods,field,False,constrained_lexical,0.0,
OpenAlex,10007,Monetary Policy and Economic Impact,FOR,380201,Cross-sectional analysis,field,False,constrained_lexical,0.333,
OpenAlex,10007,Monetary Policy and Economic Impact,FOR,380204,Panel data analysis,field,True,constrained_lexical,1.0,
OpenAlex,10007,Monetary Policy and Economic Impact,FOR,380203,Economic models and forecasting,field,False,constrained_lexical,0.333,
OpenAlex,10008,Teacher Education and Leadership Studies,FOR,390113,"Science, technology and engineering curriculum and pedagogy",field,False,constrained_lexical,0.2,
OpenAlex,10008,Teacher Education and Leadership Studies,FOR,390111,Physical education and development curriculum and pedagogy,field,True,constrained_lexical,0.4,
OpenAlex,10008,Teacher Education and Leadership Studies,FOR,390102,Curriculum and pedagogy theory and development,field,False,constrained_lexical,0.25,
OpenAlex,10008,Teacher Education and Leadership Studies,FOR,390105,Environmental education curriculum and pedagogy,field,False,constrained_lexical,0.25,
OpenAlex,10008,Teacher Education and Leadership Studies,FOR,390106,Geography education curriculum and pedagogy,field,False,constrained_lexical,0.25,
OpenAlex,10008,Teacher Education and Leadership Studies,FOR,390114,Vocational education and training curriculum and pedagogy,field,False,constrained_lexical,0.2,
OpenAlex,10009,Dementia and Cognitive Impairment Research,FOR,320205,Dermatology,field,False,constrained_lexical,0.0,
OpenAlex,10009,Dementia and Cognitive Impairment Research,FOR,320206,Diagnostic radiography,field,False,constrained_lexical,0.0,
OpenAlex,10009,Dementia and Cognitive Impairment Research,FOR,320204,Clinimetrics,field,False,constrained_lexical,0.0,
OpenAlex,10009,Dementia and Cognitive Impairment Research,FOR,320201,Anaesthesiology,field,True,below_floor,0.0,
OpenAlex,10009,Dementia and Cognitive Impairment Research,FOR,320202,Clinical chemistry (incl. diagnostics),field,False,constrained_lexical,0.0,
OpenAlex,10009,Dementia and Cognitive Impairment Research,FOR,320203,Clinical microbiology,field,False,constrained_lexical,0.0,
OpenAlex,10010,"Obesity, Physical Activity, Diet",FOR,420699,Public health not elsewhere classified,field,True,constrained_lexical,0.4,
OpenAlex,10010,"Obesity, Physical Activity, Diet",FOR,420601,Community child health,field,False,constrained_lexical,0.333,
OpenAlex,10010,"Obesity, Physical Activity, Diet",FOR,420602,Health equity,field,False,constrained_lexical,0.5,
OpenAlex,10010,"Obesity, Physical Activity, Diet",FOR,420603,Health promotion,field,False,constrained_lexical,0.5,
OpenAlex,10010,"Obesity, Physical Activity, Diet",FOR,420605,Preventative health care,field,False,constrained_lexical,0.333,
OpenAlex,10010,"Obesity, Physical Activity, Diet",FOR,420606,Social determinants of health,field,False,constrained_lexical,0.333,
OpenAlex,10011,"Literature: history, themes, analysis",FOR,470506,Children's literature,field,False,constrained_lexical,0.5,
OpenAlex,10011,"Literature: history, themes, analysis",FOR,470503,Book history,field,False,constrained_lexical,0.5,
OpenAlex,10011,"Literature: history, themes, analysis",FOR,470505,Central and Eastern European literature (incl. Russian),field,False,constrained_lexical,0.167,
OpenAlex,10011,"Literature: history, themes, analysis",FOR,470501,African literature,field,True,constrained_lexical,0.5,
OpenAlex,10011,"Literature: history, themes, analysis",FOR,470502,Australian literature (excl. Aboriginal and Torres Strait Islander literature),field,False,constrained_lexical,0.143,
OpenAlex,10011,"Literature: history, themes, analysis",FOR,470504,British and Irish literature,field,False,constrained_lexical,0.333,
OpenAlex,10012,Genetic diversity and population structure,FOR,310510,Molecular evolution,field,True,constrained_lexical,1.0,
OpenAlex,10012,Genetic diversity and population structure,FOR,310501,Anthropological genetics,field,False,constrained_lexical,0.5,
OpenAlex,10012,Genetic diversity and population structure,FOR,310503,Developmental genetics (incl. sex determination),field,False,constrained_lexical,0.2,
OpenAlex,10012,Genetic diversity and population structure,FOR,310505,Gene expression (incl. microarray and other genome-wide approaches),field,False,constrained_lexical,0.125,
OpenAlex,10012,Genetic diversity and population structure,FOR,310507,Genetic immunology,field,False,constrained_lexical,0.5,
OpenAlex,10012,Genetic diversity and population structure,FOR,310508,Genome structure and regulation,field,False,constrained_lexical,0.333,
OpenAlex,10013,Asymmetric Synthesis and Catalysis,FOR,340504,Organic green chemistry,field,False,constrained_lexical,0.0,
OpenAlex,10013,Asymmetric Synthesis and Catalysis,FOR,340599,Organic chemistry not elsewhere classified,field,False,constrained_lexical,0.0,
OpenAlex,10013,Asymmetric Synthesis and Catalysis,FOR,340505,Physical organic chemistry,field,False,constrained_lexical,0.0,
