source_system,source_code,source_label,system,canonical_code,canonical_label,canonical_level,is_primary,match_method,confidence,notes
SEO2008,81,DEFENCE,SEO,14,DEFENCE,division,True,derived_empirical,1.0,"rolled up from 10 SEO2008 leaf-level mapping(s), 10 agreeing"
SEO2008,8101,DEFENCE,SEO,1401,Defence,group,True,derived_empirical,1.0,"rolled up from 10 SEO2008 leaf-level mapping(s), 10 agreeing"
SEO2008,810101,Air Force,SEO,140101,Air,objective,True,explicit_official,1.0,
SEO2008,810102,Army,SEO,140106,Land,objective,True,explicit_official,1.0,
SEO2008,810103,"Command, Control and Communications",SEO,140102,"Command, control and communications",objective,True,explicit_official,1.0,
SEO2008,810104,Emerging Defence Technologies,SEO,140104,Emerging defence technologies,objective,True,explicit_official,1.0,
SEO2008,810105,Intelligence,SEO,140105,"Intelligence, surveillance and space",objective,True,explicit_official,1.0,
SEO2008,810106,Logistics,SEO,140107,Logistics,objective,True,explicit_official,1.0,
SEO2008,810107,National Security,SEO,140109,National security,objective,True,explicit_official,1.0,
SEO2008,810108,Navy,SEO,140108,Maritime,objective,True,explicit_official,1.0,
SEO2008,810109,Personnel,SEO,140110,Personnel,objective,True,explicit_official,1.0,
SEO2008,810199,Defence not elsewhere classified,SEO,140199,Defence not elsewhere classified,objective,True,lexical,1.0,lexical tiebreak among 2 p-flagged candidates
SEO2008,810199,Defence not elsewhere classified,SEO,140103,Cyber and electronic security and warfare,objective,False,lexical,0.247,lexical tiebreak among 2 p-flagged candidates
SEO2008,820101,Hardwood Plantations,SEO,260201,Hardwood plantations,objective,True,explicit_official,1.0,
SEO2008,820102,Harvesting and Transport of Forest Products,SEO,260202,Harvesting and transport of forest products,objective,True,explicit_official,1.0,
SEO2008,820103,Integration of Farm and Forestry,SEO,260203,Integration of farm and forestry,objective,True,explicit_official,1.0,
SEO2008,820104,Native Forests,SEO,260204,Native forests,objective,True,explicit_official,1.0,
SEO2008,820105,Softwood Plantations,SEO,260205,Softwood plantations,objective,True,explicit_official,1.0,
SEO2008,820199,Forestry not elsewhere classified,SEO,260299,Forestry not elsewhere classified,objective,True,explicit_official,1.0,
SEO2008,820201,Almonds,SEO,260501,Almonds,objective,True,explicit_official,1.0,
SEO2008,820202,Berry Fruit (excl. Kiwifruit),SEO,260503,Berry fruit (excl. kiwifruit),objective,True,explicit_official,1.0,
SEO2008,820203,Citrus Fruit,SEO,260504,Citrus fruit,objective,True,explicit_official,1.0,
SEO2008,820204,Hops,SEO,260605,Hops,objective,True,explicit_official,1.0,partial (p-flagged) single correspondence
SEO2008,820205,Kiwifruit,SEO,260506,Kiwifruit,objective,True,explicit_official,1.0,
SEO2008,820206,Macadamias,SEO,260507,Macadamias,objective,True,explicit_official,1.0,
SEO2008,820207,Mushrooms and Truffles,SEO,260508,Mushrooms and truffles,objective,True,explicit_official,1.0,
SEO2008,820208,Olives,SEO,260509,Olives,objective,True,explicit_official,1.0,
SEO2008,820209,"Ornamentals, Natives, Flowers and Nursery Plants",SEO,260510,"Ornamentals, natives, flowers and nursery plants",objective,True,explicit_official,1.0,
SEO2008,820210,"Pome Fruit, Pip Fruit",SEO,260511,"Pome fruit, pip fruit",objective,True,explicit_official,1.0,
SEO2008,820211,Stone Fruit,SEO,260502,Avocado,objective,False,lexical,0.111,lexical tiebreak among 2 p-flagged candidates
SEO2008,820211,Stone Fruit,SEO,260513,Stone fruit (excl. avocado),objective,True,lexical,0.579,lexical tiebreak among 2 p-flagged candidates
SEO2008,820212,Table Grapes,SEO,260514,Table grapes,objective,True,explicit_official,1.0,
SEO2008,820213,Tree Nuts (excl. Almonds and Macadamias),SEO,260515,Tree nuts (excl. almonds and macadamias),objective,True,explicit_official,1.0,
SEO2008,820214,Tropical Fruit,SEO,260516,Tropical fruit,objective,True,explicit_official,1.0,
SEO2008,820215,Vegetables,SEO,260512,Protected vegetable crops,objective,True,lexical,0.571,lexical tiebreak among 2 p-flagged candidates
