for2020_division_code,for2020_division_label,area5_code,area5_label,confidence,notes
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",LES,Life and Earth Science,1.0,user-provided FOR2020 division -> 5-area aggregate
31,BIOLOGICAL SCIENCES,LES,Life and Earth Science,1.0,user-provided FOR2020 division -> 5-area aggregate
32,BIOMEDICAL AND CLINICAL SCIENCES,BHS,Biomedical and Health Science,1.0,user-provided FOR2020 division -> 5-area aggregate
33,BUILT ENVIRONMENT AND DESIGN,PSE,Physical Science and Engineering,1.0,user-provided FOR2020 division -> 5-area aggregate
34,CHEMICAL SCIENCES,PSE,Physical Science and Engineering,1.0,user-provided FOR2020 division -> 5-area aggregate
35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
36,CREATIVE ARTS AND WRITING,SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
37,EARTH SCIENCES,LES,Life and Earth Science,1.0,user-provided FOR2020 division -> 5-area aggregate
38,ECONOMICS,SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
39,EDUCATION,SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
40,ENGINEERING,PSE,Physical Science and Engineering,1.0,user-provided FOR2020 division -> 5-area aggregate
41,ENVIRONMENTAL SCIENCES,LES,Life and Earth Science,1.0,user-provided FOR2020 division -> 5-area aggregate
42,HEALTH SCIENCES,BHS,Biomedical and Health Science,1.0,user-provided FOR2020 division -> 5-area aggregate
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
44,HUMAN SOCIETY,SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
45,INDIGENOUS STUDIES,IND,INDIGENOUS STUDIES,1.0,user-provided FOR2020 division -> 5-area aggregate
46,INFORMATION AND COMPUTING SCIENCES,MCS,"Mathematics, Computing and Information Science",1.0,user-provided FOR2020 division -> 5-area aggregate
47,"LANGUAGE, COMMUNICATION AND CULTURE",SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
48,LAW AND LEGAL STUDIES,SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
49,MATHEMATICAL SCIENCES,MCS,"Mathematics, Computing and Information Science",1.0,user-provided FOR2020 division -> 5-area aggregate
50,PHILOSOPHY AND RELIGIOUS STUDIES,SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
51,PHYSICAL SCIENCES,PSE,Physical Science and Engineering,1.0,user-provided FOR2020 division -> 5-area aggregate
52,PSYCHOLOGY,SSH,Social Science and Humanities,1.0,user-provided FOR2020 division -> 5-area aggregate
