scheme,level,rank,code_form,cardinality,corresponds_to
ASJC,field,2,2-digit,27,= OAX field_id (exact)
ASJC,subfield,3,4-digit,334,superset of OAX subfield_id (252 of 361 used)
FOR,division,1,2-digit,23,
FOR,group,2,4-digit,213,
FOR,field,3,6-digit,1967,
FOR2020_AREA5,area,1,label,23,"direct FOR2020 division -> area fact, user-provided"
OAX,domain,1,1-digit,4,
OAX,field,2,2-digit,26,ASJC field code (exact)
OAX,subfield,3,4-digit,252,ASJC subfield code (exact)
OAX,topic,4,5-digit,4516,
SEO,division,1,2-digit,19,
SEO,group,2,4-digit,128,
SEO,objective,3,6-digit,840,
