for_division_code,for_division_label,openalex_domain_id,openalex_domain_label,is_primary,share,match_method
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1,Life Sciences,True,1.0,manual_curated
31,BIOLOGICAL SCIENCES,1,Life Sciences,True,1.0,manual_curated
32,BIOMEDICAL AND CLINICAL SCIENCES,4,Health Sciences,True,1.0,manual_curated
33,BUILT ENVIRONMENT AND DESIGN,3,Physical Sciences,True,1.0,manual_curated
34,CHEMICAL SCIENCES,3,Physical Sciences,True,1.0,manual_curated
35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",2,Social Sciences,True,1.0,manual_curated
36,CREATIVE ARTS AND WRITING,2,Social Sciences,True,1.0,manual_curated
37,EARTH SCIENCES,3,Physical Sciences,True,1.0,manual_curated
38,ECONOMICS,2,Social Sciences,True,1.0,manual_curated
39,EDUCATION,2,Social Sciences,True,1.0,manual_curated
40,ENGINEERING,3,Physical Sciences,True,1.0,manual_curated
41,ENVIRONMENTAL SCIENCES,3,Physical Sciences,True,1.0,manual_curated
42,HEALTH SCIENCES,4,Health Sciences,True,1.0,manual_curated
43,"HISTORY, HERITAGE AND ARCHAEOLOGY",2,Social Sciences,True,1.0,manual_curated
44,HUMAN SOCIETY,2,Social Sciences,True,1.0,manual_curated
46,INFORMATION AND COMPUTING SCIENCES,3,Physical Sciences,True,1.0,manual_curated
47,"LANGUAGE, COMMUNICATION AND CULTURE",2,Social Sciences,True,1.0,manual_curated
48,LAW AND LEGAL STUDIES,2,Social Sciences,True,1.0,manual_curated
49,MATHEMATICAL SCIENCES,3,Physical Sciences,True,1.0,manual_curated
50,PHILOSOPHY AND RELIGIOUS STUDIES,2,Social Sciences,True,1.0,manual_curated
51,PHYSICAL SCIENCES,3,Physical Sciences,True,1.0,manual_curated
52,PSYCHOLOGY,2,Social Sciences,True,1.0,manual_curated
