for_division_code,for_division_label,openalex_subfield_id,openalex_subfield_label,is_primary,share,match_method
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1100,General Agricultural and Biological Sciences,True,0.2,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1102,Agronomy and Crop Science,False,0.2,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1103,Animal Science and Zoology,False,0.2,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1104,Aquatic Science,False,0.1,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1106,Food Science,False,0.1,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1107,Forestry,False,0.1,derived_empirical
30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1108,Horticulture,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1100,General Agricultural and Biological Sciences,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1103,Animal Science and Zoology,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1110,Plant Science,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,2404,Microbiology,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1305,Biotechnology,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1311,Genetics,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1312,Molecular Biology,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1303,Biochemistry,False,0.1,derived_empirical
31,BIOLOGICAL SCIENCES,1105,"Ecology, Evolution, Behavior and Systematics",True,0.2,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2743,Reproductive Medicine,False,0.062,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2736,Pharmacology,False,0.062,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2735,"Pediatrics, Perinatology and Child Health",False,0.062,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2731,Ophthalmology,False,0.062,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2730,Oncology,False,0.062,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2712,"Endocrinology, Diabetes and Metabolism",False,0.062,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2728,Neurology,False,0.062,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2724,Internal Medicine,True,0.125,derived_empirical
32,BIOMEDICAL AND CLINICAL SCIENCES,2726,Microbiology,False,0.062,derived_empirical
