for_group_code,for_group_label,openalex_domain_id,openalex_domain_label,is_primary,share,match_method
3001,Agricultural biotechnology,1,Life Sciences,True,1.0,manual_curated
3002,"Agriculture, land and farm management",1,Life Sciences,True,1.0,manual_curated
3003,Animal production,1,Life Sciences,True,1.0,manual_curated
3004,Crop and pasture production,1,Life Sciences,True,1.0,manual_curated
3005,Fisheries sciences,1,Life Sciences,True,1.0,manual_curated
3006,Food sciences,1,Life Sciences,True,1.0,manual_curated
3007,Forestry sciences,1,Life Sciences,True,1.0,manual_curated
3008,Horticultural production,1,Life Sciences,True,1.0,manual_curated
3009,Veterinary sciences,1,Life Sciences,True,1.0,manual_curated
3099,"Other agricultural, veterinary and food sciences",1,Life Sciences,True,1.0,manual_curated
3101,Biochemistry and cell biology,1,Life Sciences,True,1.0,manual_override
3102,Bioinformatics and computational biology,1,Life Sciences,True,1.0,manual_override
3103,Ecology,1,Life Sciences,True,1.0,manual_curated
3104,Evolutionary biology,1,Life Sciences,True,1.0,manual_curated
3105,Genetics,1,Life Sciences,True,1.0,manual_override
3106,Industrial biotechnology,1,Life Sciences,True,1.0,manual_override
3107,Microbiology,1,Life Sciences,True,1.0,manual_override
3108,Plant biology,1,Life Sciences,True,1.0,manual_curated
3109,Zoology,1,Life Sciences,True,1.0,manual_curated
3199,Other biological sciences,1,Life Sciences,True,1.0,manual_curated
3201,Cardiovascular medicine and haematology,4,Health Sciences,True,1.0,manual_curated
3202,Clinical sciences,4,Health Sciences,True,1.0,manual_curated
3203,Dentistry,4,Health Sciences,True,1.0,manual_override
3204,Immunology,4,Health Sciences,True,1.0,manual_curated
3205,Medical biochemistry and metabolomics,4,Health Sciences,True,1.0,manual_curated
3206,Medical biotechnology,4,Health Sciences,True,1.0,manual_curated
3207,Medical microbiology,4,Health Sciences,True,1.0,manual_curated
3208,Medical physiology,4,Health Sciences,True,1.0,manual_curated
3209,Neurosciences,4,Health Sciences,True,1.0,manual_curated
3210,Nutrition and dietetics,4,Health Sciences,True,1.0,manual_curated
3211,Oncology and carcinogenesis,4,Health Sciences,True,1.0,manual_curated
3212,Ophthalmology and optometry,4,Health Sciences,True,1.0,manual_curated
3213,Paediatrics,4,Health Sciences,True,1.0,manual_curated
3214,Pharmacology and pharmaceutical sciences,4,Health Sciences,True,1.0,manual_curated
3215,Reproductive medicine,4,Health Sciences,True,1.0,manual_curated
3299,Other biomedical and clinical sciences,4,Health Sciences,True,1.0,manual_curated
3301,Architecture,3,Physical Sciences,True,1.0,manual_curated
3302,Building,3,Physical Sciences,True,1.0,manual_curated
3303,Design,2,Social Sciences,True,1.0,manual_override
3304,Urban and regional planning,2,Social Sciences,True,1.0,manual_override
3399,Other built environment and design,3,Physical Sciences,True,1.0,manual_curated
3401,Analytical chemistry,3,Physical Sciences,True,1.0,manual_curated
3402,Inorganic chemistry,3,Physical Sciences,True,1.0,manual_curated
3403,Macromolecular and materials chemistry,3,Physical Sciences,True,1.0,manual_curated
3404,Medicinal and biomolecular chemistry,3,Physical Sciences,True,1.0,manual_curated
3405,Organic chemistry,3,Physical Sciences,True,1.0,manual_curated
3406,Physical chemistry,3,Physical Sciences,True,1.0,manual_curated
3407,Theoretical and computational chemistry,3,Physical Sciences,True,1.0,manual_curated
3499,Other chemical sciences,3,Physical Sciences,True,1.0,manual_curated
3501,"Accounting, auditing and accountability",2,Social Sciences,True,1.0,manual_curated
3502,"Banking, finance and investment",2,Social Sciences,True,1.0,manual_curated
3503,Business systems in context,2,Social Sciences,True,1.0,manual_curated
3504,Commercial services,2,Social Sciences,True,1.0,manual_curated
3505,Human resources and industrial relations,2,Social Sciences,True,1.0,manual_curated
3506,Marketing,2,Social Sciences,True,1.0,manual_curated
3507,"Strategy, management and organisational behaviour",2,Social Sciences,True,1.0,manual_curated
3508,Tourism,2,Social Sciences,True,1.0,manual_curated
3509,"Transportation, logistics and supply chains",2,Social Sciences,True,1.0,manual_curated
3599,"Other commerce, management, tourism and services",2,Social Sciences,True,1.0,manual_curated
3601,"Art history, theory and criticism",2,Social Sciences,True,1.0,manual_curated
3602,Creative and professional writing,2,Social Sciences,True,1.0,manual_curated
3603,Music,2,Social Sciences,True,1.0,manual_curated
3604,Performing arts,2,Social Sciences,True,1.0,manual_curated
3605,Screen and digital media,2,Social Sciences,True,1.0,manual_curated
3606,Visual arts,2,Social Sciences,True,1.0,manual_curated
3699,Other creative arts and writing,2,Social Sciences,True,1.0,manual_curated
3701,Atmospheric sciences,3,Physical Sciences,True,1.0,manual_curated
3702,Climate change science,3,Physical Sciences,True,1.0,manual_curated
3703,Geochemistry,3,Physical Sciences,True,1.0,manual_curated
3704,Geoinformatics,3,Physical Sciences,True,1.0,manual_curated
3705,Geology,3,Physical Sciences,True,1.0,manual_curated
3706,Geophysics,3,Physical Sciences,True,1.0,manual_curated
3707,Hydrology,3,Physical Sciences,True,1.0,manual_curated
3708,Oceanography,3,Physical Sciences,True,1.0,manual_curated
3709,Physical geography and environmental geoscience,3,Physical Sciences,True,1.0,manual_curated
3799,Other earth sciences,3,Physical Sciences,True,1.0,manual_curated
3801,Applied economics,2,Social Sciences,True,1.0,manual_curated
3802,Econometrics,2,Social Sciences,True,1.0,manual_curated
3803,Economic theory,2,Social Sciences,True,1.0,manual_curated
3899,Other economics,2,Social Sciences,True,1.0,manual_curated
3901,Curriculum and pedagogy,2,Social Sciences,True,1.0,manual_curated
3902,"Education policy, sociology and philosophy",2,Social Sciences,True,1.0,manual_curated
3903,Education systems,2,Social Sciences,True,1.0,manual_curated
3904,Specialist studies in education,2,Social Sciences,True,1.0,manual_curated
3999,Other Education,2,Social Sciences,True,1.0,manual_curated
4001,Aerospace engineering,3,Physical Sciences,True,1.0,manual_curated
4002,Automotive engineering,3,Physical Sciences,True,1.0,manual_curated
4003,Biomedical engineering,3,Physical Sciences,True,1.0,manual_curated
4004,Chemical engineering,3,Physical Sciences,True,1.0,manual_override
4005,Civil engineering,3,Physical Sciences,True,1.0,manual_curated
4006,Communications engineering,3,Physical Sciences,True,1.0,manual_curated
4007,"Control engineering, mechatronics and robotics",3,Physical Sciences,True,1.0,manual_curated
4008,Electrical engineering,3,Physical Sciences,True,1.0,manual_curated
4009,"Electronics, sensors and digital hardware",3,Physical Sciences,True,1.0,manual_curated
4010,Engineering practice and education,3,Physical Sciences,True,1.0,manual_curated
4011,Environmental engineering,3,Physical Sciences,True,1.0,manual_override
4012,Fluid mechanics and thermal engineering,3,Physical Sciences,True,1.0,manual_curated
4013,Geomatic engineering,3,Physical Sciences,True,1.0,manual_curated
4014,Manufacturing engineering,3,Physical Sciences,True,1.0,manual_curated
4015,Maritime engineering,3,Physical Sciences,True,1.0,manual_curated
4016,Materials engineering,3,Physical Sciences,True,1.0,manual_override
4017,Mechanical engineering,3,Physical Sciences,True,1.0,manual_curated
4018,Nanotechnology,3,Physical Sciences,True,1.0,manual_curated
4019,Resources engineering and extractive metallurgy,3,Physical Sciences,True,1.0,manual_curated
4099,Other engineering,3,Physical Sciences,True,1.0,manual_curated
4101,Climate change impacts and adaptation,3,Physical Sciences,True,1.0,manual_curated
4102,Ecological applications,3,Physical Sciences,True,1.0,manual_curated
4103,Environmental biotechnology,3,Physical Sciences,True,1.0,manual_curated
4104,Environmental management,3,Physical Sciences,True,1.0,manual_curated
4105,Pollution and contamination,3,Physical Sciences,True,1.0,manual_curated
4106,Soil sciences,3,Physical Sciences,True,1.0,manual_curated
4199,Other environmental sciences,3,Physical Sciences,True,1.0,manual_curated
4201,Allied health and rehabilitation science,4,Health Sciences,True,1.0,manual_curated
4202,Epidemiology,4,Health Sciences,True,1.0,manual_curated
4203,Health services and systems,4,Health Sciences,True,1.0,manual_curated
4204,Midwifery,4,Health Sciences,True,1.0,manual_curated
4205,Nursing,4,Health Sciences,True,1.0,manual_override
4206,Public health,4,Health Sciences,True,1.0,manual_curated
4207,Sports science and exercise,4,Health Sciences,True,1.0,manual_curated
4208,"Traditional, complementary and integrative medicine",4,Health Sciences,True,1.0,manual_curated
4299,Other health sciences,4,Health Sciences,True,1.0,manual_curated
4301,Archaeology,2,Social Sciences,True,1.0,manual_curated
4302,"Heritage, archive and museum studies",2,Social Sciences,True,1.0,manual_curated
4303,Historical studies,2,Social Sciences,True,1.0,manual_curated
4399,"Other history, heritage and archaeology",2,Social Sciences,True,1.0,manual_curated
4401,Anthropology,2,Social Sciences,True,1.0,manual_curated
4402,Criminology,2,Social Sciences,True,1.0,manual_curated
4403,Demography,2,Social Sciences,True,1.0,manual_curated
4404,Development studies,2,Social Sciences,True,1.0,manual_curated
4405,Gender studies,2,Social Sciences,True,1.0,manual_curated
4406,Human geography,2,Social Sciences,True,1.0,manual_curated
4407,Policy and administration,2,Social Sciences,True,1.0,manual_curated
4408,Political science,2,Social Sciences,True,1.0,manual_curated
4409,Social work,2,Social Sciences,True,1.0,manual_curated
4410,Sociology,2,Social Sciences,True,1.0,manual_curated
4499,Other human society,2,Social Sciences,True,1.0,manual_curated
4601,Applied computing,3,Physical Sciences,True,1.0,manual_curated
4602,Artificial intelligence,3,Physical Sciences,True,1.0,manual_curated
4603,Computer vision and multimedia computation,3,Physical Sciences,True,1.0,manual_curated
4604,Cybersecurity and privacy,3,Physical Sciences,True,1.0,manual_curated
4605,Data management and data science,3,Physical Sciences,True,1.0,manual_curated
4606,Distributed computing and systems software,3,Physical Sciences,True,1.0,manual_curated
4607,"Graphics, augmented reality and games",3,Physical Sciences,True,1.0,manual_curated
4608,Human-centred computing,3,Physical Sciences,True,1.0,manual_curated
4609,Information systems,3,Physical Sciences,True,1.0,manual_curated
4610,Library and information studies,2,Social Sciences,True,1.0,manual_override
4611,Machine learning,3,Physical Sciences,True,1.0,manual_curated
4612,Software engineering,3,Physical Sciences,True,1.0,manual_curated
4613,Theory of computation,3,Physical Sciences,True,1.0,manual_curated
4699,Other information and computing sciences,3,Physical Sciences,True,1.0,manual_curated
4701,Communication and media studies,2,Social Sciences,True,1.0,manual_override
4702,Cultural studies,2,Social Sciences,True,1.0,manual_override
4703,Language studies,2,Social Sciences,True,1.0,manual_curated
4704,Linguistics,2,Social Sciences,True,1.0,manual_curated
4705,Literary studies,2,Social Sciences,True,1.0,manual_curated
4799,"Other language, communication and culture",2,Social Sciences,True,1.0,manual_curated
4801,Commercial law,2,Social Sciences,True,1.0,manual_curated
4802,Environmental and resources law,2,Social Sciences,True,1.0,manual_curated
4803,International and comparative law,2,Social Sciences,True,1.0,manual_curated
4804,Law in context,2,Social Sciences,True,1.0,manual_curated
4805,Legal systems,2,Social Sciences,True,1.0,manual_curated
4806,Private law and civil obligations,2,Social Sciences,True,1.0,manual_curated
4807,Public law,2,Social Sciences,True,1.0,manual_curated
4899,Other law and legal studies,2,Social Sciences,True,1.0,manual_curated
4901,Applied mathematics,3,Physical Sciences,True,1.0,manual_curated
4902,Mathematical physics,3,Physical Sciences,True,1.0,manual_curated
4903,Numerical and computational mathematics,3,Physical Sciences,True,1.0,manual_curated
4904,Pure mathematics,3,Physical Sciences,True,1.0,manual_curated
4905,Statistics,3,Physical Sciences,True,1.0,manual_curated
4999,Other mathematical sciences,3,Physical Sciences,True,1.0,manual_curated
5001,Applied ethics,2,Social Sciences,True,1.0,manual_curated
5002,History and philosophy of specific fields,2,Social Sciences,True,1.0,manual_curated
5003,Philosophy,2,Social Sciences,True,1.0,manual_curated
5004,Religious studies,2,Social Sciences,True,1.0,manual_curated
5005,Theology,2,Social Sciences,True,1.0,manual_curated
5099,Other philosophy and religious studies,2,Social Sciences,True,1.0,manual_curated
5101,Astronomical sciences,3,Physical Sciences,True,1.0,manual_curated
5102,"Atomic, molecular and optical physics",3,Physical Sciences,True,1.0,manual_curated
5103,Classical physics,3,Physical Sciences,True,1.0,manual_curated
5104,Condensed matter physics,3,Physical Sciences,True,1.0,manual_curated
5105,Medical and biological physics,3,Physical Sciences,True,1.0,manual_curated
5106,Nuclear and plasma physics,3,Physical Sciences,True,1.0,manual_curated
5107,Particle and high energy physics,3,Physical Sciences,True,1.0,manual_curated
5108,Quantum physics,3,Physical Sciences,True,1.0,manual_curated
5109,Space sciences,3,Physical Sciences,True,1.0,manual_curated
5110,Synchrotrons and accelerators,3,Physical Sciences,True,1.0,manual_curated
5199,Other physical sciences,3,Physical Sciences,True,1.0,manual_curated
5201,Applied and developmental psychology,2,Social Sciences,True,1.0,manual_curated
5202,Biological psychology,2,Social Sciences,True,1.0,manual_curated
5203,Clinical and health psychology,2,Social Sciences,True,1.0,manual_curated
5204,Cognitive and computational psychology,2,Social Sciences,True,1.0,manual_curated
5205,Social and personality psychology,2,Social Sciences,True,1.0,manual_curated
5299,Other psychology,2,Social Sciences,True,1.0,manual_curated
