for_group_code,for_group_label,openalex_field_id,openalex_field_label,is_primary,share,match_method
3001,Agricultural biotechnology,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3002,"Agriculture, land and farm management",11,Agricultural and Biological Sciences,True,1.0,manual_curated
3003,Animal production,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3004,Crop and pasture production,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3005,Fisheries sciences,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3006,Food sciences,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3007,Forestry sciences,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3008,Horticultural production,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3009,Veterinary sciences,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3099,"Other agricultural, veterinary and food sciences",11,Agricultural and Biological Sciences,True,1.0,manual_curated
3101,Biochemistry and cell biology,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,manual_override
3102,Bioinformatics and computational biology,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,manual_override
3103,Ecology,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3104,Evolutionary biology,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3105,Genetics,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,manual_override
3106,Industrial biotechnology,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,manual_override
3107,Microbiology,24,Immunology and Microbiology,True,1.0,manual_override
3108,Plant biology,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3109,Zoology,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3199,Other biological sciences,11,Agricultural and Biological Sciences,True,1.0,manual_curated
3201,Cardiovascular medicine and haematology,27,Medicine,True,1.0,manual_curated
3202,Clinical sciences,27,Medicine,True,1.0,manual_curated
3203,Dentistry,35,Dentistry,True,1.0,manual_override
3204,Immunology,27,Medicine,True,1.0,manual_curated
3205,Medical biochemistry and metabolomics,27,Medicine,True,1.0,manual_curated
3206,Medical biotechnology,27,Medicine,True,1.0,manual_curated
