for_group_code,for_group_label,openalex_subfield_id,openalex_subfield_label,is_primary,share,match_method
3001,Agricultural biotechnology,1100,General Agricultural and Biological Sciences,True,1.0,manual_curated
3002,"Agriculture, land and farm management",1102,Agronomy and Crop Science,True,1.0,manual_curated
3003,Animal production,1103,Animal Science and Zoology,True,1.0,manual_curated
3004,Crop and pasture production,1102,Agronomy and Crop Science,True,1.0,manual_curated
3005,Fisheries sciences,1104,Aquatic Science,True,1.0,manual_curated
3006,Food sciences,1106,Food Science,True,1.0,manual_curated
3007,Forestry sciences,1107,Forestry,True,1.0,manual_curated
3008,Horticultural production,1108,Horticulture,True,1.0,manual_curated
3009,Veterinary sciences,1103,Animal Science and Zoology,True,1.0,manual_curated
3099,"Other agricultural, veterinary and food sciences",1100,General Agricultural and Biological Sciences,True,1.0,manual_curated
3101,Biochemistry and cell biology,1303,Biochemistry,True,1.0,manual_override
3102,Bioinformatics and computational biology,1312,Molecular Biology,True,1.0,manual_override
3103,Ecology,1105,"Ecology, Evolution, Behavior and Systematics",True,1.0,manual_curated
3104,Evolutionary biology,1105,"Ecology, Evolution, Behavior and Systematics",True,1.0,manual_curated
3105,Genetics,1311,Genetics,True,1.0,manual_override
3106,Industrial biotechnology,1305,Biotechnology,True,1.0,manual_override
3107,Microbiology,2404,Microbiology,True,1.0,manual_override
3108,Plant biology,1110,Plant Science,True,1.0,manual_curated
3109,Zoology,1103,Animal Science and Zoology,True,1.0,manual_curated
3199,Other biological sciences,1100,General Agricultural and Biological Sciences,True,1.0,manual_curated
3201,Cardiovascular medicine and haematology,2705,Cardiology and Cardiovascular Medicine,True,1.0,manual_curated
3202,Clinical sciences,2724,Internal Medicine,True,1.0,manual_curated
3203,Dentistry,3500,General Dentistry,True,1.0,manual_override
3204,Immunology,2723,Immunology and Allergy,True,1.0,manual_curated
3205,Medical biochemistry and metabolomics,2704,Biochemistry,True,1.0,manual_curated
3206,Medical biotechnology,2716,Genetics,True,1.0,manual_curated
3207,Medical microbiology,2726,Microbiology,True,1.0,manual_curated
3208,Medical physiology,2737,Physiology,True,1.0,manual_curated
3209,Neurosciences,2728,Neurology,True,1.0,manual_curated
3210,Nutrition and dietetics,2712,"Endocrinology, Diabetes and Metabolism",True,1.0,manual_curated
3211,Oncology and carcinogenesis,2730,Oncology,True,1.0,manual_curated
3212,Ophthalmology and optometry,2731,Ophthalmology,True,1.0,manual_curated
3213,Paediatrics,2735,"Pediatrics, Perinatology and Child Health",True,1.0,manual_curated
3214,Pharmacology and pharmaceutical sciences,2736,Pharmacology,True,1.0,manual_curated
3215,Reproductive medicine,2743,Reproductive Medicine,True,1.0,manual_curated
3299,Other biomedical and clinical sciences,2724,Internal Medicine,True,1.0,manual_curated
3301,Architecture,2216,Architecture,True,1.0,manual_curated
3302,Building,2215,Building and Construction,True,1.0,manual_curated
3303,Design,1213,Visual Arts and Performing Arts,True,1.0,manual_override
3304,Urban and regional planning,3322,Urban Studies,True,1.0,manual_override
3399,Other built environment and design,2200,General Engineering,True,1.0,manual_curated
3401,Analytical chemistry,1602,Analytical Chemistry,True,1.0,manual_curated
3402,Inorganic chemistry,1604,Inorganic Chemistry,True,1.0,manual_curated
3403,Macromolecular and materials chemistry,1605,Organic Chemistry,True,1.0,manual_curated
3404,Medicinal and biomolecular chemistry,1605,Organic Chemistry,True,1.0,manual_curated
3405,Organic chemistry,1605,Organic Chemistry,True,1.0,manual_curated
3406,Physical chemistry,1606,Physical and Theoretical Chemistry,True,1.0,manual_curated
3407,Theoretical and computational chemistry,1606,Physical and Theoretical Chemistry,True,1.0,manual_curated
3499,Other chemical sciences,1606,Physical and Theoretical Chemistry,True,1.0,manual_curated
3501,"Accounting, auditing and accountability",1402,Accounting,True,1.0,manual_curated
3502,"Banking, finance and investment",1403,Business and International Management,True,1.0,manual_curated
3503,Business systems in context,1403,Business and International Management,True,1.0,manual_curated
3504,Commercial services,1403,Business and International Management,True,1.0,manual_curated
3505,Human resources and industrial relations,1407,Organizational Behavior and Human Resource Management,True,1.0,manual_curated
3506,Marketing,1406,Marketing,True,1.0,manual_curated
3507,"Strategy, management and organisational behaviour",1408,Strategy and Management,True,1.0,manual_curated
3508,Tourism,1409,"Tourism, Leisure and Hospitality Management",True,1.0,manual_curated
3509,"Transportation, logistics and supply chains",1403,Business and International Management,True,1.0,manual_curated
3599,"Other commerce, management, tourism and services",1403,Business and International Management,True,1.0,manual_curated
3601,"Art history, theory and criticism",1213,Visual Arts and Performing Arts,True,1.0,manual_curated
3602,Creative and professional writing,1208,Literature and Literary Theory,True,1.0,manual_curated
3603,Music,1210,Music,True,1.0,manual_curated
3604,Performing arts,1213,Visual Arts and Performing Arts,True,1.0,manual_curated
3605,Screen and digital media,1213,Visual Arts and Performing Arts,True,1.0,manual_curated
3606,Visual arts,1213,Visual Arts and Performing Arts,True,1.0,manual_curated
3699,Other creative arts and writing,1200,General Arts and Humanities,True,1.0,manual_curated
3701,Atmospheric sciences,1902,Atmospheric Science,True,1.0,manual_curated
3702,Climate change science,1902,Atmospheric Science,True,1.0,manual_curated
3703,Geochemistry,1906,Geochemistry and Petrology,True,1.0,manual_curated
3704,Geoinformatics,1907,Geology,True,1.0,manual_curated
3705,Geology,1907,Geology,True,1.0,manual_curated
3706,Geophysics,1908,Geophysics,True,1.0,manual_curated
3707,Hydrology,1904,Earth-Surface Processes,True,1.0,manual_curated
3708,Oceanography,1910,Oceanography,True,1.0,manual_curated
3709,Physical geography and environmental geoscience,1904,Earth-Surface Processes,True,1.0,manual_curated
3799,Other earth sciences,1907,Geology,True,1.0,manual_curated
3801,Applied economics,2002,Economics and Econometrics,True,1.0,manual_curated
3802,Econometrics,2002,Economics and Econometrics,True,1.0,manual_curated
3803,Economic theory,2002,Economics and Econometrics,True,1.0,manual_curated
3899,Other economics,2000,"General Economics, Econometrics and Finance",True,1.0,manual_curated
3901,Curriculum and pedagogy,3304,Education,True,1.0,manual_curated
3902,"Education policy, sociology and philosophy",3304,Education,True,1.0,manual_curated
3903,Education systems,3304,Education,True,1.0,manual_curated
3904,Specialist studies in education,3304,Education,True,1.0,manual_curated
3999,Other Education,3304,Education,True,1.0,manual_curated
4001,Aerospace engineering,2202,Aerospace Engineering,True,1.0,manual_curated
4002,Automotive engineering,2203,Automotive Engineering,True,1.0,manual_curated
4003,Biomedical engineering,2204,Biomedical Engineering,True,1.0,manual_curated
4004,Chemical engineering,1508,Process Chemistry and Technology,True,1.0,manual_override
4005,Civil engineering,2205,Civil and Structural Engineering,True,1.0,manual_curated
4006,Communications engineering,2208,Electrical and Electronic Engineering,True,1.0,manual_curated
4007,"Control engineering, mechatronics and robotics",2207,Control and Systems Engineering,True,1.0,manual_curated
4008,Electrical engineering,2208,Electrical and Electronic Engineering,True,1.0,manual_curated
4009,"Electronics, sensors and digital hardware",2208,Electrical and Electronic Engineering,True,1.0,manual_curated
4010,Engineering practice and education,2200,General Engineering,True,1.0,manual_curated
4011,Environmental engineering,2305,Environmental Engineering,True,1.0,manual_override
4012,Fluid mechanics and thermal engineering,2210,Mechanical Engineering,True,1.0,manual_curated
4013,Geomatic engineering,2205,Civil and Structural Engineering,True,1.0,manual_curated
4014,Manufacturing engineering,2209,Industrial and Manufacturing Engineering,True,1.0,manual_curated
4015,Maritime engineering,2212,Ocean Engineering,True,1.0,manual_curated
4016,Materials engineering,2500,General Materials Science,True,1.0,manual_override
4017,Mechanical engineering,2210,Mechanical Engineering,True,1.0,manual_curated
4018,Nanotechnology,2200,General Engineering,True,1.0,manual_curated
4019,Resources engineering and extractive metallurgy,2200,General Engineering,True,1.0,manual_curated
4099,Other engineering,2200,General Engineering,True,1.0,manual_curated
4101,Climate change impacts and adaptation,2306,Global and Planetary Change,True,1.0,manual_curated
4102,Ecological applications,2303,Ecology,True,1.0,manual_curated
4103,Environmental biotechnology,2304,Environmental Chemistry,True,1.0,manual_curated
4104,Environmental management,2308,"Management, Monitoring, Policy and Law",True,1.0,manual_curated
4105,Pollution and contamination,2310,Pollution,True,1.0,manual_curated
4106,Soil sciences,2304,Environmental Chemistry,True,1.0,manual_curated
4199,Other environmental sciences,2303,Ecology,True,1.0,manual_curated
4201,Allied health and rehabilitation science,2742,Rehabilitation,True,1.0,manual_curated
4202,Epidemiology,2713,Epidemiology,True,1.0,manual_curated
4203,Health services and systems,2739,"Public Health, Environmental and Occupational Health",True,1.0,manual_curated
4204,Midwifery,2729,Obstetrics and Gynecology,True,1.0,manual_curated
4205,Nursing,2922,Research and Theory,True,1.0,manual_override
4206,Public health,2739,"Public Health, Environmental and Occupational Health",True,1.0,manual_curated
4207,Sports science and exercise,2732,Orthopedics and Sports Medicine,True,1.0,manual_curated
4208,"Traditional, complementary and integrative medicine",2707,Complementary and alternative medicine,True,1.0,manual_curated
4299,Other health sciences,2724,Internal Medicine,True,1.0,manual_curated
4301,Archaeology,1204,Archeology,True,1.0,manual_curated
4302,"Heritage, archive and museum studies",1209,Museology,True,1.0,manual_curated
4303,Historical studies,1202,History,True,1.0,manual_curated
4399,"Other history, heritage and archaeology",1200,General Arts and Humanities,True,1.0,manual_curated
4401,Anthropology,3314,Anthropology,True,1.0,manual_curated
4402,Criminology,3312,Sociology and Political Science,True,1.0,manual_curated
4403,Demography,3317,Demography,True,1.0,manual_curated
4404,Development studies,3303,Development,True,1.0,manual_curated
4405,Gender studies,3318,Gender Studies,True,1.0,manual_curated
4406,Human geography,3305,"Geography, Planning and Development",True,1.0,manual_curated
4407,Policy and administration,3321,Public Administration,True,1.0,manual_curated
4408,Political science,3320,Political Science and International Relations,True,1.0,manual_curated
4409,Social work,3300,General Social Sciences,True,1.0,manual_curated
4410,Sociology,3312,Sociology and Political Science,True,1.0,manual_curated
4499,Other human society,3300,General Social Sciences,True,1.0,manual_curated
4601,Applied computing,1706,Computer Science Applications,True,1.0,manual_curated
4602,Artificial intelligence,1702,Artificial Intelligence,True,1.0,manual_curated
4603,Computer vision and multimedia computation,1707,Computer Vision and Pattern Recognition,True,1.0,manual_curated
4604,Cybersecurity and privacy,1705,Computer Networks and Communications,True,1.0,manual_curated
4605,Data management and data science,1710,Information Systems,True,1.0,manual_curated
4606,Distributed computing and systems software,1712,Software,True,1.0,manual_curated
4607,"Graphics, augmented reality and games",1704,Computer Graphics and Computer-Aided Design,True,1.0,manual_curated
4608,Human-centred computing,1709,Human-Computer Interaction,True,1.0,manual_curated
