for2020_code,for2020_label,for2020_division_code,openalex_subfield_id,openalex_subfield_label,openalex_field_id,openalex_field_label,is_primary,confidence,match_method,notes,reviewed
3001,Agricultural biotechnology,30,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Agricultural biotechnology  (no Biotechnology in AgBio subfields),2026-07-11
3002,"Agriculture, land and farm management",30,1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,True,1.0,manual_curated,"Agriculture, land and farm management -> Agronomy and Crop Science",2026-07-11
3003,Animal production,30,1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Animal production -> Animal Science and Zoology,2026-07-11
3004,Crop and pasture production,30,1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Crop and pasture production -> Agronomy and Crop Science,2026-07-11
3005,Fisheries sciences,30,1104,Aquatic Science,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Fisheries sciences -> Aquatic Science,2026-07-11
3006,Food sciences,30,1106,Food Science,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Food sciences -> Food Science,2026-07-11
3007,Forestry sciences,30,1107,Forestry,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Forestry sciences -> Forestry,2026-07-11
3008,Horticultural production,30,1108,Horticulture,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Horticultural production -> Horticulture,2026-07-11
3009,Veterinary sciences,30,1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Veterinary sciences -> Animal Science and Zoology,2026-07-11
3099,"Other agricultural, veterinary and food sciences",30,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,True,1.0,manual_curated,Other -> General Agricultural and Biological Sciences,2026-07-11
3101,Biochemistry and cell biology,31,1303,Biochemistry,13,"Biochemistry, Genetics and Molecular Biology",True,1.0,manual_override,"Biochemistry and cell biology -> Biochemistry (field 13, exact-ish; field 11 has no Biochemistry subfield)",2026-07-11
