openalex_field_id,openalex_field_name,for_division_code,for_division_label,for_group_code,for_group_label,is_primary,confidence,match_method,notes
11,Agricultural and Biological Sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",,,True,0.188,constrained_lexical,
12,Arts and Humanities,47,"LANGUAGE, COMMUNICATION AND CULTURE",,,True,0.165,constrained_lexical,
13,"Biochemistry, Genetics and Molecular Biology",31,BIOLOGICAL SCIENCES,,,True,0.155,constrained_lexical,
14,"Business, Management and Accounting",35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",,,True,0.303,constrained_lexical,
15,Chemical Engineering,40,ENGINEERING,4004,Chemical engineering,True,1.0,exact_match,
16,Chemistry,34,CHEMICAL SCIENCES,,,True,0.245,constrained_lexical,
17,Computer Science,46,INFORMATION AND COMPUTING SCIENCES,,,True,0.334,constrained_lexical,
18,Decision Sciences,46,INFORMATION AND COMPUTING SCIENCES,,,True,0.357,constrained_lexical,
19,Earth and Planetary Sciences,37,EARTH SCIENCES,,,True,0.238,constrained_lexical,
20,"Economics, Econometrics and Finance",35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",,,True,0.23,constrained_lexical,
21,Energy,40,ENGINEERING,,,True,0.371,constrained_lexical,
22,Engineering,40,ENGINEERING,,,True,1.0,exact_match,
23,Environmental Science,41,ENVIRONMENTAL SCIENCES,,,True,1.0,exact_match,
24,Immunology and Microbiology,31,BIOLOGICAL SCIENCES,,,True,0.173,constrained_lexical,
25,Materials Science,40,ENGINEERING,,,True,0.232,constrained_lexical,
26,Mathematics,49,MATHEMATICAL SCIENCES,,,True,0.304,constrained_lexical,
27,Medicine,32,BIOMEDICAL AND CLINICAL SCIENCES,,,True,0.097,constrained_lexical,
28,Neuroscience,32,BIOMEDICAL AND CLINICAL SCIENCES,3209,Neurosciences,True,1.0,exact_match,
29,Nursing,42,HEALTH SCIENCES,4205,Nursing,True,1.0,exact_match,
30,"Pharmacology, Toxicology and Pharmaceutics",32,BIOMEDICAL AND CLINICAL SCIENCES,,,True,0.197,constrained_lexical,
31,Physics and Astronomy,51,PHYSICAL SCIENCES,,,True,0.266,constrained_lexical,
32,Psychology,52,PSYCHOLOGY,,,True,1.0,exact_match,
33,Social Sciences,44,HUMAN SOCIETY,,,True,0.129,constrained_lexical,
34,Veterinary,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",3009,Veterinary sciences,True,1.0,exact_match,
35,Dentistry,32,BIOMEDICAL AND CLINICAL SCIENCES,3203,Dentistry,True,1.0,exact_match,
36,Health Professions,42,HEALTH SCIENCES,,,True,0.7,manual_override,obviously Health Sciences on inspection; lexical overlap was a noise-level near-tie with Info/Computing Sciences
