openalex_subfield_id,openalex_subfield_name,for_group_code,for_group_label,is_primary,confidence,match_method,notes
1100,General Agricultural and Biological Sciences,3002,"Agriculture, land and farm management",True,0.163,constrained_lexical,
1100,General Agricultural and Biological Sciences,3304,Urban and regional planning,False,0.14,constrained_lexical,
1100,General Agricultural and Biological Sciences,4407,Policy and administration,False,0.116,constrained_lexical,
1100,General Agricultural and Biological Sciences,4410,Sociology,False,0.116,constrained_lexical,
1100,General Agricultural and Biological Sciences,4609,Information systems,False,0.116,constrained_lexical,
1100,General Agricultural and Biological Sciences,3005,Fisheries sciences,False,0.093,constrained_lexical,
1100,General Agricultural and Biological Sciences,3104,Evolutionary biology,False,0.093,constrained_lexical,
1100,General Agricultural and Biological Sciences,3501,"Accounting, auditing and accountability",False,0.093,constrained_lexical,
1100,General Agricultural and Biological Sciences,3502,"Banking, finance and investment",False,0.093,constrained_lexical,
1102,Agronomy and Crop Science,3004,Crop and pasture production,True,0.188,constrained_lexical,
1102,Agronomy and Crop Science,3002,"Agriculture, land and farm management",False,0.156,constrained_lexical,
1102,Agronomy and Crop Science,3003,Animal production,False,0.156,constrained_lexical,
1102,Agronomy and Crop Science,3007,Forestry sciences,False,0.156,constrained_lexical,
1102,Agronomy and Crop Science,3109,Zoology,False,0.156,constrained_lexical,
1102,Agronomy and Crop Science,3001,Agricultural biotechnology,False,0.125,constrained_lexical,
1102,Agronomy and Crop Science,3008,Horticultural production,False,0.125,constrained_lexical,
1102,Agronomy and Crop Science,4014,Manufacturing engineering,False,0.125,constrained_lexical,
1102,Agronomy and Crop Science,4609,Information systems,False,0.125,constrained_lexical,
1103,Animal Science and Zoology,3003,Animal production,True,0.261,constrained_lexical,
1103,Animal Science and Zoology,3007,Forestry sciences,False,0.261,constrained_lexical,
1103,Animal Science and Zoology,3001,Agricultural biotechnology,False,0.087,constrained_lexical,
1103,Animal Science and Zoology,3004,Crop and pasture production,False,0.087,constrained_lexical,
1103,Animal Science and Zoology,3005,Fisheries sciences,False,0.087,constrained_lexical,
1103,Animal Science and Zoology,3002,"Agriculture, land and farm management",False,0.043,constrained_lexical,
1103,Animal Science and Zoology,3009,Veterinary sciences,False,0.043,constrained_lexical,
1103,Animal Science and Zoology,3006,Food sciences,False,0.0,constrained_lexical,
1103,Animal Science and Zoology,3008,Horticultural production,False,0.0,constrained_lexical,
1104,Aquatic Science,3005,Fisheries sciences,True,0.7,manual_override,"Aquatic Science -- fisheries/aquatic concept, not animal production"
1105,"Ecology, Evolution, Behavior and Systematics",3104,Evolutionary biology,True,0.194,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",4410,Sociology,False,0.104,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",3002,"Agriculture, land and farm management",False,0.09,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",3003,Animal production,False,0.09,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",3109,Zoology,False,0.09,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",3004,Crop and pasture production,False,0.075,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",3302,Building,False,0.075,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",3503,Business systems in context,False,0.075,constrained_lexical,
1105,"Ecology, Evolution, Behavior and Systematics",3506,Marketing,False,0.075,constrained_lexical,
1106,Food Science,3006,Food sciences,True,1.0,exact_match,
1106,Food Science,3004,Crop and pasture production,False,0.095,constrained_lexical,
1106,Food Science,4014,Manufacturing engineering,False,0.095,constrained_lexical,
1106,Food Science,3104,Evolutionary biology,False,0.081,constrained_lexical,
1106,Food Science,3401,Analytical chemistry,False,0.081,constrained_lexical,
1106,Food Science,3701,Atmospheric sciences,False,0.081,constrained_lexical,
1106,Food Science,4410,Sociology,False,0.081,constrained_lexical,
1106,Food Science,4609,Information systems,False,0.081,constrained_lexical,
1106,Food Science,3002,"Agriculture, land and farm management",False,0.068,constrained_lexical,
1107,Forestry,3007,Forestry sciences,True,1.0,exact_match,
1107,Forestry,3002,"Agriculture, land and farm management",False,0.263,constrained_lexical,
1107,Forestry,3099,"Other agricultural, veterinary and food sciences",False,0.158,constrained_lexical,
1107,Forestry,3001,Agricultural biotechnology,False,0.105,constrained_lexical,
1107,Forestry,3003,Animal production,False,0.105,constrained_lexical,
1107,Forestry,3004,Crop and pasture production,False,0.105,constrained_lexical,
1107,Forestry,3006,Food sciences,False,0.105,constrained_lexical,
1107,Forestry,3005,Fisheries sciences,False,0.053,constrained_lexical,
1107,Forestry,3008,Horticultural production,False,0.053,constrained_lexical,
1108,Horticulture,3004,Crop and pasture production,True,0.0,below_floor,
1108,Horticulture,3001,Agricultural biotechnology,False,0.0,constrained_lexical,
1108,Horticulture,3002,"Agriculture, land and farm management",False,0.0,constrained_lexical,
1108,Horticulture,3003,Animal production,False,0.0,constrained_lexical,
1108,Horticulture,3005,Fisheries sciences,False,0.0,constrained_lexical,
1108,Horticulture,3006,Food sciences,False,0.0,constrained_lexical,
1108,Horticulture,3007,Forestry sciences,False,0.0,constrained_lexical,
1108,Horticulture,3008,Horticultural production,False,0.0,constrained_lexical,
1108,Horticulture,3009,Veterinary sciences,False,0.0,constrained_lexical,
1109,Insect Science,3104,Evolutionary biology,True,0.167,constrained_lexical,
